dataset,level,transition,pure_default_optimizer_boundary,opcode,total_before,total_after,total_delta,cases_changed
public_v1,O1,llvm_default_opt_boundary_3,True,udiv,9,9,0,0
public_v1,O1,custom_storage_delift,False,sdiv,49,49,0,0
public_v1,O1,custom_storage_delift,False,srem,23,23,0,0
public_v1,O1,custom_storage_delift,False,udiv,9,9,0,0
public_v1,O1,custom_residual_strip,False,sdiv,49,49,0,0
public_v1,O1,custom_residual_strip,False,srem,23,23,0,0
public_v1,O1,custom_residual_strip,False,udiv,9,9,0,0
public_v1,O1,final_tail_opt_4_plus_custom_cleanup,False,sdiv,49,51,2,1
public_v1,O1,final_tail_opt_4_plus_custom_cleanup,False,srem,23,23,0,0
public_v1,O1,final_tail_opt_4_plus_custom_cleanup,False,udiv,9,9,0,0
public_v1,O1,main_combined_custom_plus_opt_1_2,False,fneg,0,1,1,1
public_v1,O1,bundle_exact_pointer_passes,False,fneg,1,1,0,0
public_v1,O1,llvm_default_opt_boundary_3,True,fneg,1,1,0,0
public_v1,O1,custom_storage_delift,False,fneg,1,1,0,0
public_v1,O1,custom_residual_strip,False,fneg,1,1,0,0
public_v1,O1,final_tail_opt_4_plus_custom_cleanup,False,fneg,1,1,0,0
public_v1,O1,main_combined_custom_plus_opt_1_2,False,uitofp,0,1,1,1
public_v1,O1,bundle_exact_pointer_passes,False,uitofp,1,1,0,0
public_v1,O1,llvm_default_opt_boundary_3,True,uitofp,1,1,0,0
public_v1,O1,custom_storage_delift,False,uitofp,1,1,0,0
public_v1,O1,custom_residual_strip,False,uitofp,1,1,0,0
public_v1,O1,final_tail_opt_4_plus_custom_cleanup,False,uitofp,1,1,0,0
public_v1,O1,main_combined_custom_plus_opt_1_2,False,freeze,0,6,6,2
public_v1,O1,main_combined_custom_plus_opt_1_2,False,urem,0,8,8,2
public_v1,O1,bundle_exact_pointer_passes,False,freeze,6,6,0,0
public_v1,O1,bundle_exact_pointer_passes,False,urem,8,8,0,0
public_v1,O1,llvm_default_opt_boundary_3,True,freeze,6,6,0,0
public_v1,O1,llvm_default_opt_boundary_3,True,urem,8,8,0,0
public_v1,O1,custom_storage_delift,False,freeze,6,6,0,0
public_v1,O1,custom_storage_delift,False,urem,8,8,0,0
public_v1,O1,custom_residual_strip,False,freeze,6,6,0,0
public_v1,O1,custom_residual_strip,False,urem,8,8,0,0
public_v1,O1,final_tail_opt_4_plus_custom_cleanup,False,freeze,6,6,0,0
public_v1,O1,final_tail_opt_4_plus_custom_cleanup,False,urem,8,8,0,0
public_v1,O1,main_combined_custom_plus_opt_1_2,False,extractelement,8,0,-8,2
public_v1,O2,main_combined_custom_plus_opt_1_2,False,add,14799,3399,-11400,40
public_v1,O2,main_combined_custom_plus_opt_1_2,False,alloca,0,149,149,37
public_v1,O2,main_combined_custom_plus_opt_1_2,False,and,22049,2422,-19627,40
public_v1,O2,main_combined_custom_plus_opt_1_2,False,ashr,6003,94,-5909,40
public_v1,O2,main_combined_custom_plus_opt_1_2,False,br,15689,3211,-12478,40
public_v1,O2,main_combined_custom_plus_opt_1_2,False,call,4144,2348,-1796,40
public_v1,O2,main_combined_custom_plus_opt_1_2,False,getelementptr,1867,4634,2767,40
public_v1,O2,main_combined_custom_plus_opt_1_2,False,icmp,27809,2073,-25736,40
public_v1,O2,main_combined_custom_plus_opt_1_2,False,inttoptr,17220,234,-16986,40
public_v1,O2,main_combined_custom_plus_opt_1_2,False,load,24374,6569,-17805,40
public_v1,O2,main_combined_custom_plus_opt_1_2,False,lshr,10859,173,-10686,40
public_v1,O2,main_combined_custom_plus_opt_1_2,False,mul,3858,887,-2971,39
public_v1,O2,main_combined_custom_plus_opt_1_2,False,or,5054,1783,-3271,40
public_v1,O2,main_combined_custom_plus_opt_1_2,False,phi,441,1646,1205,40
public_v1,O2,main_combined_custom_plus_opt_1_2,False,ptrtoint,0,664,664,32
public_v1,O2,main_combined_custom_plus_opt_1_2,False,ret,1552,207,-1345,40
public_v1,O2,main_combined_custom_plus_opt_1_2,False,select,3720,898,-2822,40
public_v1,O2,main_combined_custom_plus_opt_1_2,False,sext,1277,931,-346,34
public_v1,O2,main_combined_custom_plus_opt_1_2,False,shl,6596,756,-5840,40
public_v1,O2,main_combined_custom_plus_opt_1_2,False,store,53684,8988,-44696,40
public_v1,O2,main_combined_custom_plus_opt_1_2,False,sub,28799,820,-27979,40
public_v1,O2,main_combined_custom_plus_opt_1_2,False,switch,2,91,89,27
public_v1,O2,main_combined_custom_plus_opt_1_2,False,trunc,40899,751,-40148,40
public_v1,O2,main_combined_custom_plus_opt_1_2,False,unreachable,593,74,-519,40
public_v1,O2,main_combined_custom_plus_opt_1_2,False,xor,19023,1422,-17601,40
public_v1,O2,main_combined_custom_plus_opt_1_2,False,zext,46209,2784,-43425,40
public_v1,O2,bundle_exact_pointer_passes,False,add,3399,3179,-220,20
public_v1,O2,bundle_exact_pointer_passes,False,alloca,149,148,-1,1
public_v1,O2,bundle_exact_pointer_passes,False,and,2422,2420,-2,6
public_v1,O2,bundle_exact_pointer_passes,False,br,3211,3118,-93,27
public_v1,O2,bundle_exact_pointer_passes,False,call,2348,2342,-6,2
public_v1,O2,bundle_exact_pointer_passes,False,getelementptr,4634,4548,-86,23
public_v1,O2,bundle_exact_pointer_passes,False,icmp,2073,2064,-9,4
public_v1,O2,bundle_exact_pointer_passes,False,load,6569,6472,-97,11
public_v1,O2,bundle_exact_pointer_passes,False,phi,1646,1593,-53,14
public_v1,O2,bundle_exact_pointer_passes,False,ptrtoint,664,606,-58,18
public_v1,O2,bundle_exact_pointer_passes,False,ret,207,207,0,0
public_v1,O2,bundle_exact_pointer_passes,False,select,898,899,1,5
