dataset,level,sample_id,transition,pure_default_optimizer_boundary,opcode,before,after,delta
public_v1,O1,p00001,final_tail_opt_4_plus_custom_cleanup,False,ret,4,2,-2
public_v1,O1,p00001,final_tail_opt_4_plus_custom_cleanup,False,select,5,2,-3
public_v1,O1,p00001,final_tail_opt_4_plus_custom_cleanup,False,sext,2,2,0
public_v1,O1,p00001,final_tail_opt_4_plus_custom_cleanup,False,shl,2,2,0
public_v1,O1,p00001,final_tail_opt_4_plus_custom_cleanup,False,store,107,58,-49
public_v1,O1,p00001,final_tail_opt_4_plus_custom_cleanup,False,sub,1,1,0
public_v1,O1,p00001,final_tail_opt_4_plus_custom_cleanup,False,switch,1,1,0
public_v1,O1,p00001,final_tail_opt_4_plus_custom_cleanup,False,zext,2,2,0
public_v1,O1,p00008,main_combined_custom_plus_opt_1_2,False,add,148,25,-123
public_v1,O1,p00008,main_combined_custom_plus_opt_1_2,False,alloca,0,3,3
public_v1,O1,p00008,main_combined_custom_plus_opt_1_2,False,and,231,7,-224
public_v1,O1,p00008,main_combined_custom_plus_opt_1_2,False,ashr,64,0,-64
public_v1,O1,p00008,main_combined_custom_plus_opt_1_2,False,br,169,29,-140
public_v1,O1,p00008,main_combined_custom_plus_opt_1_2,False,call,34,7,-27
public_v1,O1,p00008,main_combined_custom_plus_opt_1_2,False,getelementptr,13,76,63
public_v1,O1,p00008,main_combined_custom_plus_opt_1_2,False,icmp,297,21,-276
public_v1,O1,p00008,main_combined_custom_plus_opt_1_2,False,inttoptr,157,1,-156
public_v1,O1,p00008,main_combined_custom_plus_opt_1_2,False,load,217,45,-172
public_v1,O1,p00008,main_combined_custom_plus_opt_1_2,False,lshr,90,0,-90
public_v1,O1,p00008,main_combined_custom_plus_opt_1_2,False,mul,32,2,-30
public_v1,O1,p00008,main_combined_custom_plus_opt_1_2,False,or,53,4,-49
public_v1,O1,p00008,main_combined_custom_plus_opt_1_2,False,phi,3,4,1
public_v1,O1,p00008,main_combined_custom_plus_opt_1_2,False,ptrtoint,0,2,2
public_v1,O1,p00008,main_combined_custom_plus_opt_1_2,False,ret,24,2,-22
public_v1,O1,p00008,main_combined_custom_plus_opt_1_2,False,select,45,3,-42
public_v1,O1,p00008,main_combined_custom_plus_opt_1_2,False,sext,8,8,0
public_v1,O1,p00008,main_combined_custom_plus_opt_1_2,False,shl,80,8,-72
public_v1,O1,p00008,main_combined_custom_plus_opt_1_2,False,store,480,39,-441
public_v1,O1,p00008,main_combined_custom_plus_opt_1_2,False,sub,287,0,-287
public_v1,O1,p00008,main_combined_custom_plus_opt_1_2,False,trunc,458,1,-457
public_v1,O1,p00008,main_combined_custom_plus_opt_1_2,False,unreachable,3,0,-3
public_v1,O1,p00008,main_combined_custom_plus_opt_1_2,False,xor,187,6,-181
public_v1,O1,p00008,main_combined_custom_plus_opt_1_2,False,zext,534,5,-529
public_v1,O1,p00008,bundle_exact_pointer_passes,False,add,25,11,-14
public_v1,O1,p00008,bundle_exact_pointer_passes,False,alloca,3,3,0
public_v1,O1,p00008,bundle_exact_pointer_passes,False,and,7,7,0
public_v1,O1,p00008,bundle_exact_pointer_passes,False,br,29,29,0
public_v1,O1,p00008,bundle_exact_pointer_passes,False,call,7,7,0
public_v1,O1,p00008,bundle_exact_pointer_passes,False,getelementptr,76,84,8
public_v1,O1,p00008,bundle_exact_pointer_passes,False,icmp,21,21,0
public_v1,O1,p00008,bundle_exact_pointer_passes,False,inttoptr,1,1,0
public_v1,O1,p00008,bundle_exact_pointer_passes,False,load,45,45,0
public_v1,O1,p00008,bundle_exact_pointer_passes,False,mul,2,2,0
public_v1,O1,p00008,bundle_exact_pointer_passes,False,or,4,4,0
public_v1,O1,p00008,bundle_exact_pointer_passes,False,phi,4,4,0
public_v1,O1,p00008,bundle_exact_pointer_passes,False,ptrtoint,2,2,0
public_v1,O1,p00008,bundle_exact_pointer_passes,False,ret,2,2,0
public_v1,O1,p00008,bundle_exact_pointer_passes,False,select,3,3,0
public_v1,O1,p00008,bundle_exact_pointer_passes,False,sext,8,8,0
public_v1,O1,p00008,bundle_exact_pointer_passes,False,shl,8,8,0
public_v1,O1,p00008,bundle_exact_pointer_passes,False,store,39,39,0
public_v1,O1,p00008,bundle_exact_pointer_passes,False,trunc,1,1,0
public_v1,O1,p00008,bundle_exact_pointer_passes,False,xor,6,6,0
public_v1,O1,p00008,bundle_exact_pointer_passes,False,zext,5,5,0
public_v1,O1,p00008,llvm_default_opt_boundary_3,True,add,11,11,0
public_v1,O1,p00008,llvm_default_opt_boundary_3,True,alloca,3,3,0
public_v1,O1,p00008,llvm_default_opt_boundary_3,True,and,7,7,0
public_v1,O1,p00008,llvm_default_opt_boundary_3,True,br,29,24,-5
public_v1,O1,p00008,llvm_default_opt_boundary_3,True,call,7,7,0
public_v1,O1,p00008,llvm_default_opt_boundary_3,True,getelementptr,84,45,-39
public_v1,O1,p00008,llvm_default_opt_boundary_3,True,icmp,21,22,1
public_v1,O1,p00008,llvm_default_opt_boundary_3,True,inttoptr,1,1,0
public_v1,O1,p00008,llvm_default_opt_boundary_3,True,load,45,31,-14
public_v1,O1,p00008,llvm_default_opt_boundary_3,True,mul,2,2,0
public_v1,O1,p00008,llvm_default_opt_boundary_3,True,or,4,4,0
public_v1,O1,p00008,llvm_default_opt_boundary_3,True,phi,4,6,2
