dataset,level,sample_id,transition,before_stage,after_stage,pure_default_optimizer_boundary,functions_before,functions_after,functions_delta,functions_delta_ratio,blocks_before,blocks_after,blocks_delta,blocks_delta_ratio,instructions_before,instructions_after,instructions_delta,instructions_delta_ratio,conditional_branches_before,conditional_branches_after,conditional_branches_delta,conditional_branches_delta_ratio,calls_before,calls_after,calls_delta,calls_delta_ratio,direct_calls_before,direct_calls_after,direct_calls_delta,direct_calls_delta_ratio,indirect_calls_before,indirect_calls_after,indirect_calls_delta,indirect_calls_delta_ratio,intrinsics_before,intrinsics_after,intrinsics_delta,intrinsics_delta_ratio,allocas_before,allocas_after,allocas_delta,allocas_delta_ratio,loads_before,loads_after,loads_delta,loads_delta_ratio,stores_before,stores_after,stores_delta,stores_delta_ratio,geps_before,geps_after,geps_delta,geps_delta_ratio,phis_before,phis_after,phis_delta,phis_delta_ratio,selects_before,selects_after,selects_delta,selects_delta_ratio,switches_before,switches_after,switches_delta,switches_delta_ratio,unreachable_before,unreachable_after,unreachable_delta,unreachable_delta_ratio,memory_ops_before,memory_ops_after,memory_ops_delta,memory_ops_delta_ratio,scalar_cleanup_ops_before,scalar_cleanup_ops_after,scalar_cleanup_ops_delta,scalar_cleanup_ops_delta_ratio,vector_instructions_before,vector_instructions_after,vector_instructions_delta,vector_instructions_delta_ratio
public_v1,O1,p00008,custom_residual_strip,bundle_storage_delift,bundle_residual_strip,False,2,2,0,0.0,27,27,0,0.0,228,228,0,0.0,14,14,0,0.0,7,7,0,0.0,7,7,0,0.0,0,0,0,,5,5,0,0.0,3,3,0,0.0,31,31,0,0.0,39,39,0,0.0,45,45,0,0.0,6,6,0,0.0,3,3,0,0.0,0,0,0,,0,0,0,,118,118,0,0.0,44,44,0,0.0,0,0,0,
public_v1,O1,p00008,final_tail_opt_4_plus_custom_cleanup,bundle_residual_strip,final_clean,False,2,2,0,0.0,27,27,0,0.0,228,243,15,0.06578947368421052,14,14,0,0.0,7,7,0,0.0,7,7,0,0.0,0,0,0,,5,5,0,0.0,3,3,0,0.0,31,17,-14,-0.45161290322580644,39,39,0,0.0,45,45,0,0.0,6,35,29,4.833333333333333,3,3,0,0.0,0,0,0,,0,0,0,,118,104,-14,-0.11864406779661017,44,73,29,0.6590909090909091,0,0,0,
public_v1,O1,p00033,main_combined_custom_plus_opt_1_2,raw_lift,brightened_main,False,27,4,-23,-0.8518518518518519,231,88,-143,-0.6190476190476191,4099,559,-3540,-0.8636252744571847,99,4,-95,-0.9595959595959596,54,18,-36,-0.6666666666666666,49,18,-31,-0.6326530612244898,5,0,-5,-1.0,17,3,-14,-0.8235294117647058,0,13,13,,202,82,-120,-0.594059405940594,590,116,-474,-0.8033898305084746,14,67,53,3.7857142857142856,3,5,2,0.6666666666666666,49,17,-32,-0.6530612244897959,0,2,2,,3,0,-3,-1.0,806,278,-528,-0.6550868486352357,1597,78,-1519,-0.9511584220413275,0,0,0,
public_v1,O1,p00033,bundle_exact_pointer_passes,bundle_verified_input,bundle_pointer_opt,False,4,4,0,0.0,88,87,-1,-0.011363636363636364,559,555,-4,-0.007155635062611807,4,4,0,0.0,18,18,0,0.0,18,18,0,0.0,0,0,0,,3,3,0,0.0,13,13,0,0.0,82,82,0,0.0,116,116,0,0.0,67,66,-1,-0.014925373134328358,5,5,0,0.0,17,17,0,0.0,2,2,0,0.0,0,0,0,,278,277,-1,-0.0035971223021582736,78,77,-1,-0.01282051282051282,0,0,0,
public_v1,O1,p00033,llvm_default_opt_boundary_3,bundle_pointer_opt,bundle_standard_opt_3,True,4,4,0,0.0,87,86,-1,-0.011494252873563218,555,542,-13,-0.023423423423423424,4,4,0,0.0,18,18,0,0.0,18,18,0,0.0,0,0,0,,3,3,0,0.0,13,13,0,0.0,82,81,-1,-0.012195121951219513,116,116,0,0.0,66,66,0,0.0,5,6,1,0.2,17,17,0,0.0,2,2,0,0.0,0,0,0,,277,276,-1,-0.0036101083032490976,77,73,-4,-0.05194805194805195,0,0,0,
public_v1,O1,p00033,custom_storage_delift,bundle_standard_opt_3,bundle_storage_delift,False,4,4,0,0.0,86,86,0,0.0,542,542,0,0.0,4,4,0,0.0,18,18,0,0.0,18,18,0,0.0,0,0,0,,3,3,0,0.0,13,13,0,0.0,81,81,0,0.0,116,116,0,0.0,66,66,0,0.0,6,6,0,0.0,17,17,0,0.0,2,2,0,0.0,0,0,0,,276,276,0,0.0,73,73,0,0.0,0,0,0,
public_v1,O1,p00033,custom_residual_strip,bundle_storage_delift,bundle_residual_strip,False,4,4,0,0.0,86,86,0,0.0,542,542,0,0.0,4,4,0,0.0,18,18,0,0.0,18,18,0,0.0,0,0,0,,3,3,0,0.0,13,13,0,0.0,81,81,0,0.0,116,116,0,0.0,66,66,0,0.0,6,6,0,0.0,17,17,0,0.0,2,2,0,0.0,0,0,0,,276,276,0,0.0,73,73,0,0.0,0,0,0,
public_v1,O1,p00033,final_tail_opt_4_plus_custom_cleanup,bundle_residual_strip,final_clean,False,4,4,0,0.0,86,86,0,0.0,542,520,-22,-0.04059040590405904,4,4,0,0.0,18,18,0,0.0,18,18,0,0.0,0,0,0,,3,3,0,0.0,13,13,0,0.0,81,79,-2,-0.024691358024691357,116,95,-21,-0.1810344827586207,66,65,-1,-0.015151515151515152,6,9,3,0.5,17,16,-1,-0.058823529411764705,2,2,0,0.0,0,0,0,,276,252,-24,-0.08695652173913043,73,75,2,0.0273972602739726,0,0,0,
public_v1,O1,p00165,main_combined_custom_plus_opt_1_2,raw_lift,brightened_main,False,24,3,-21,-0.875,148,29,-119,-0.8040540540540541,2313,303,-2010,-0.8690012970168612,60,14,-46,-0.7666666666666667,34,18,-16,-0.47058823529411764,29,18,-11,-0.3793103448275862,5,0,-5,-1.0,7,10,3,0.42857142857142855,0,5,5,,159,42,-117,-0.7358490566037735,363,59,-304,-0.837465564738292,7,69,62,8.857142857142858,3,12,9,3.0,27,2,-25,-0.9259259259259259,0,0,0,,3,0,-3,-1.0,529,175,-354,-0.6691871455576559,901,48,-853,-0.946725860155383,0,0,0,
public_v1,O1,p00165,bundle_exact_pointer_passes,bundle_verified_input,bundle_pointer_opt,False,3,3,0,0.0,29,28,-1,-0.034482758620689655,303,296,-7,-0.0231023102310231,14,13,-1,-0.07142857142857142,18,18,0,0.0,18,18,0,0.0,0,0,0,,10,10,0,0.0,5,5,0,0.0,42,40,-2,-0.047619047619047616,59,59,0,0.0,69,69,0,0.0,12,11,-1,-0.08333333333333333,2,2,0,0.0,0,0,0,,0,0,0,,175,173,-2,-0.011428571428571429,48,44,-4,-0.08333333333333333,0,0,0,
