dataset,level,sample_id,stage,functions,blocks,instructions,conditional_branches,calls,direct_calls,indirect_calls,intrinsics,allocas,loads,stores,geps,phis,selects,switches,unreachable,memory_ops,scalar_cleanup_ops,vector_instructions,structural_sha256
public_v1,O1,p00788,final_clean,2,45,204,15,11,11,0,0,8,4,9,0,29,6,1,9,21,77,0,6600c430478004ddf00048e55625c1571097116c97eb69946aa04e80ed2630f2
public_v1,O1,p00793,raw_lift,31,162,3671,76,67,62,5,22,0,374,736,43,14,26,0,7,1153,1167,0,049fa2556787982324b07d8a3223b30fa4bbcfbd315ecf3745236f9e8141eaeb
public_v1,O1,p00793,brightened_main,9,103,5116,42,101,101,0,38,6,620,2458,136,423,14,9,4,3220,970,0,79972484272f937bdb86949e76e9c7984eb2893109147d8b2bcbd41cf8bc59cc
public_v1,O1,p00793,bundle_verified_input,9,103,5116,42,101,101,0,38,6,620,2458,136,423,14,9,4,3220,970,0,d375dc643ad50dd0eda28bb3eb8dfb6c81c660534aa2e76f01102d8a76f09473
public_v1,O1,p00793,bundle_pointer_opt,9,103,5116,42,101,101,0,38,6,620,2458,136,423,14,9,4,3220,970,0,841067858394af89967a84bee5a2513d98b9d875c87af1863b98641d61bf7048
public_v1,O1,p00793,bundle_standard_opt_3,9,103,5061,42,101,101,0,38,6,601,2422,136,423,14,9,4,3165,970,0,31b3fe739133cb22aadbdbd6e41e5936c6d434c372525da2437140608d406575
public_v1,O1,p00793,bundle_storage_delift,9,103,5061,42,101,101,0,38,6,601,2422,136,423,14,9,4,3165,970,0,31b3fe739133cb22aadbdbd6e41e5936c6d434c372525da2437140608d406575
public_v1,O1,p00793,bundle_residual_strip,9,103,5061,42,101,101,0,38,6,601,2422,136,423,14,9,4,3165,970,0,31b3fe739133cb22aadbdbd6e41e5936c6d434c372525da2437140608d406575
public_v1,O1,p00793,final_clean,9,103,5023,42,101,101,0,38,6,598,2386,136,430,14,9,4,3126,971,0,04c11a49fca679d664b5d408dca10bf567c9ffedfee573ef9386d31c3e755bc1
public_v1,O1,p00859,raw_lift,37,245,4458,97,80,73,7,25,0,299,720,32,5,47,0,3,1051,1694,0,9c2db843153b25753dc495b08057cb4d545dd8640d23069e05395933a4855287
public_v1,O1,p00859,brightened_main,7,97,1274,6,42,42,0,2,2,140,201,120,31,21,2,0,463,278,0,c580b6f97e4f968598035fc2c4e6abf812ce20d39e92eaec76895310b2058f39
public_v1,O1,p00859,bundle_verified_input,7,97,1274,6,42,42,0,2,2,140,201,120,31,21,2,0,463,278,0,ad1ffc78bad109f767124e4e555ff8f815299a52bcb14c78390025ef73c7767f
public_v1,O1,p00859,bundle_pointer_opt,7,93,1218,5,40,40,0,0,1,137,183,109,30,20,2,0,430,268,0,5c40a84edfdf2a1ef08a548a782c3041abdf920932cf22db99681526008d2f71
public_v1,O1,p00859,bundle_standard_opt_3,7,92,876,5,40,40,0,0,1,98,172,100,28,20,2,0,371,169,0,2c259ca322150e29cff120e8c1f0d5630b46a6778ba78fc6a143077554caab1e
public_v1,O1,p00859,bundle_storage_delift,7,92,876,5,40,40,0,0,1,98,172,100,28,20,2,0,371,169,0,2c259ca322150e29cff120e8c1f0d5630b46a6778ba78fc6a143077554caab1e
public_v1,O1,p00859,bundle_residual_strip,7,92,876,5,40,40,0,0,1,98,172,100,28,20,2,0,371,169,0,2c259ca322150e29cff120e8c1f0d5630b46a6778ba78fc6a143077554caab1e
public_v1,O1,p00859,final_clean,7,92,836,5,40,40,0,0,1,94,162,75,36,19,2,0,332,176,0,47a0c6db168a32aa8ba39d036bae78bed9b4dbfd1edd6801f400fa3c1c1a6fc1
public_v1,O1,p00867,raw_lift,39,779,16443,356,139,134,5,51,0,1111,2277,100,13,199,0,3,3488,6642,0,7cea5cb9769a0b0359a5f256b39df12671ca3cf42206d9ef6e48dbbd6b0d63eb
public_v1,O1,p00867,brightened_main,15,376,5595,28,140,140,0,0,1,714,755,448,117,104,8,0,1918,1212,0,a261c6d350800fc7aa42c65e47bc4519e7a5352834ebe6e142bff98298a54aa0
public_v1,O1,p00867,bundle_verified_input,15,376,5595,28,140,140,0,0,1,714,755,448,117,104,8,0,1918,1212,0,310154a5e4427e2cb7fd026a2e138d5991308f1411cfa338a617044040f5b29d
public_v1,O1,p00867,bundle_pointer_opt,15,369,5461,28,140,140,0,0,1,714,755,435,117,104,8,0,1905,1206,0,aca05dba38c589ca367951611b35cdc2679a5688eeaf74266305aa4d62e7a261
public_v1,O1,p00867,bundle_standard_opt_3,15,363,4932,28,140,140,0,0,1,710,567,378,99,104,8,0,1656,1110,0,23d53779f8c8f0b37611e8af3ff8a12116d7d4852a5900922ebf7ee1b8dddffe
public_v1,O1,p00867,bundle_storage_delift,15,363,4932,28,140,140,0,0,1,710,567,378,99,104,8,0,1656,1110,0,23d53779f8c8f0b37611e8af3ff8a12116d7d4852a5900922ebf7ee1b8dddffe
public_v1,O1,p00867,bundle_residual_strip,15,363,4932,28,140,140,0,0,1,710,567,378,99,104,8,0,1656,1110,0,23d53779f8c8f0b37611e8af3ff8a12116d7d4852a5900922ebf7ee1b8dddffe
public_v1,O1,p00867,final_clean,15,376,4875,33,135,135,0,0,1,707,534,317,118,94,8,0,1559,1173,0,9cdc8a20066e37866e29fa371e005e1a6a7ca15e048cdc40038b7798fbbb16cf
public_v1,O1,p01296,raw_lift,35,653,14249,301,142,137,5,58,0,909,2031,54,5,156,0,6,2994,5874,0,8a6c0b46553906490109a62755152b979707623a2e275b427db75b28bf994041
public_v1,O1,p01296,brightened_main,10,285,4030,30,231,231,0,0,1,577,574,262,57,51,7,2,1414,795,0,15b81041718f89f5aa69237c68121c8e99433b2b91495a2c4b4f787ce5de2380
public_v1,O1,p01296,bundle_verified_input,10,285,4030,30,231,231,0,0,1,577,574,262,57,51,7,2,1414,795,0,c0f26a67ab01781e3de5c70f64ee52d55f07307a560f370caa62cdc507e24235
public_v1,O1,p01296,bundle_pointer_opt,10,278,3922,30,231,231,0,0,1,569,573,250,57,51,7,2,1393,784,0,8d9f97aa9a359573b97eeac7cae8a82399ccde7cddc1b117b4f05d5d5fce1b23
public_v1,O1,p01296,bundle_standard_opt_3,9,262,2399,33,222,222,0,0,1,439,404,214,55,53,6,2,1058,451,0,f4ad6f32513b7771f267cdb53a68be9ba615a9c9c0f0790d3fea1ae7fafebd01
public_v1,O1,p01296,bundle_storage_delift,9,262,2399,33,222,222,0,0,1,439,404,214,55,53,6,2,1058,451,0,f4ad6f32513b7771f267cdb53a68be9ba615a9c9c0f0790d3fea1ae7fafebd01
public_v1,O1,p01296,bundle_residual_strip,9,262,2399,33,222,222,0,0,1,439,404,214,55,53,6,2,1058,451,0,f4ad6f32513b7771f267cdb53a68be9ba615a9c9c0f0790d3fea1ae7fafebd01
public_v1,O1,p01296,final_clean,9,238,2224,33,222,222,0,0,1,420,320,186,64,50,7,2,927,448,0,a3063b1f2a4a0550379d51e3828532c7d4875f1c9f9bab3be613283a835f5be0
public_v1,O1,p01315,raw_lift,28,189,4160,77,66,61,5,23,0,289,652,35,3,37,0,3,976,1593,0,13142aa2549e673ac52c7185ad8a17dc2d42c206ac66327eae44911795515468
public_v1,O1,p01315,brightened_main,6,40,775,12,63,63,0,10,6,91,181,130,23,28,0,0,408,145,0,d534f1a5b6143c38b12dd8471d53391b89a0371c9472613052143039d3aa49fa
public_v1,O1,p01315,bundle_verified_input,6,40,775,12,63,63,0,10,6,91,181,130,23,28,0,0,408,145,0,12e74ff351b66aa5b61adde4dcfc135426c0535b37b357bfe20413ee2e3b7473
public_v1,O1,p01315,bundle_pointer_opt,6,38,755,12,63,63,0,10,6,91,181,128,23,28,0,0,406,143,0,553ff0da9aeb87c9aec6e7e0f8573b163f69dcbbdd705ac8ec5b4021dedb40de
public_v1,O1,p01315,bundle_standard_opt_3,6,36,764,14,66,66,0,10,6,98,190,125,28,30,0,0,419,146,0,580fe63d69c7e78f726317b0c0bc50ad7f030e71013a9144d768eac83e22b15e
public_v1,O1,p01315,bundle_storage_delift,6,36,764,14,66,66,0,10,6,98,190,125,28,30,0,0,419,146,0,580fe63d69c7e78f726317b0c0bc50ad7f030e71013a9144d768eac83e22b15e
public_v1,O1,p01315,bundle_residual_strip,6,36,764,14,66,66,0,10,6,98,190,125,28,30,0,0,419,146,0,580fe63d69c7e78f726317b0c0bc50ad7f030e71013a9144d768eac83e22b15e
public_v1,O1,p01315,final_clean,6,36,704,14,66,66,0,10,6,97,142,122,28,25,0,0,367,140,0,2e2c7009bb78c34090e253730bf6dd432d61003f9a8676f003970cfd7d67a2a1
public_v1,O1,p01571,raw_lift,43,611,13195,273,116,110,6,40,0,1023,1865,138,17,138,0,3,3026,5227,0,1591616c29b1fbd3a5b8463161afafc19bcc35f8093e24e0f9526b9a22582fe2
public_v1,O1,p01571,brightened_main,19,286,4395,22,270,270,0,10,6,714,537,397,117,69,9,0,1654,929,0,0c8cbfad0c89cd096418c0b725e891d2a1b45c50419deafc47962431ea9fbba0
public_v1,O1,p01571,bundle_verified_input,19,286,4395,22,270,270,0,10,6,714,537,397,117,69,9,0,1654,929,0,e129fd0c241da9c23c8622cc98f06d4384c1b3a6e056f6dee77885d4c9e14a56
public_v1,O1,p01571,bundle_pointer_opt,19,276,4268,21,268,268,0,8,5,709,519,374,116,68,9,0,1607,918,0,fc271d8b0ede4abb465649c5288de56ba28c4e5d2dd4eeaa2051a2001cfdc032
public_v1,O1,p01571,bundle_standard_opt_3,19,272,3552,21,268,268,0,9,5,644,432,351,109,68,9,0,1432,744,0,067a2eeb957970c868149b8bec4b524ba867ea9a7042b25b719da0209c1177ed
public_v1,O1,p01571,bundle_storage_delift,19,272,3552,21,268,268,0,9,5,644,432,351,109,68,9,0,1432,744,0,067a2eeb957970c868149b8bec4b524ba867ea9a7042b25b719da0209c1177ed
public_v1,O1,p01571,bundle_residual_strip,19,272,3552,21,268,268,0,9,5,644,432,351,109,68,9,0,1432,744,0,067a2eeb957970c868149b8bec4b524ba867ea9a7042b25b719da0209c1177ed
public_v1,O1,p01571,final_clean,19,273,3235,21,267,267,0,9,5,611,394,330,112,66,9,0,1340,677,0,b58b4ee49c238d848ee118150c7390033872fd384c217a480e51c0b6693b026e
public_v1,O1,p01687,raw_lift,31,166,2708,64,53,48,5,13,0,163,443,12,5,36,0,3,618,1030,0,4ec01ceec8256795666ffc75d2faca41e5dd26c1506c2e5656a7d1ae03b74a01
public_v1,O1,p01687,brightened_main,4,54,673,18,11,11,0,0,1,56,102,115,14,70,1,0,274,213,0,a4594cce966cbfd803db45a8bfe79520f970073423deec28cd5a02f921a99835
public_v1,O1,p01687,bundle_verified_input,4,54,673,18,11,11,0,0,1,56,102,115,14,70,1,0,274,213,0,3bd03471d5e9697fca41d442f48801fca2bace8200b04f0e571f7608aed693ca
public_v1,O1,p01687,bundle_pointer_opt,4,53,668,18,11,11,0,0,1,56,102,113,14,70,1,0,272,212,0,e57571baec6346e405b61962d89f406eee7a2effc460ca9e4eb716cb347c6e20
public_v1,O1,p01687,bundle_standard_opt_3,4,53,654,18,11,11,0,0,1,56,102,113,12,70,1,0,272,206,0,01f17ce339d196a5f79ab3e7859b733f4b74e56c2e39d6d5fb7d8ba4092c6c75
public_v1,O1,p01687,bundle_storage_delift,4,53,654,18,11,11,0,0,1,56,102,113,12,70,1,0,272,206,0,01f17ce339d196a5f79ab3e7859b733f4b74e56c2e39d6d5fb7d8ba4092c6c75
public_v1,O1,p01687,bundle_residual_strip,4,53,654,18,11,11,0,0,1,56,102,113,12,70,1,0,272,206,0,01f17ce339d196a5f79ab3e7859b733f4b74e56c2e39d6d5fb7d8ba4092c6c75
public_v1,O1,p01687,final_clean,4,53,623,18,11,11,0,0,1,55,80,107,14,66,1,0,243,204,0,b6366952e7e3ede45e31686ae37c194200490e8b23b75c5c244bec6ca1d1db05
public_v1,O1,p01766,raw_lift,26,144,2584,57,43,38,5,10,0,149,358,43,3,28,0,3,550,994,0,c2308046eb5f1d068574e0f8fd7a7ae67b0d5ef46da68c8ddd4de78b1ed33ddd
public_v1,O1,p01766,brightened_main,2,23,307,11,14,14,0,9,6,24,50,69,8,10,0,0,149,67,0,3e2d7899f284b5b1f5a229a4b1c56cd8fe2f16f8a8bad01d7588329b95e592c0
public_v1,O1,p01766,bundle_verified_input,2,23,307,11,14,14,0,9,6,24,50,69,8,10,0,0,149,67,0,ce4d79a3698eaac5c2267624e1298b286baad19b5ad9bb82d1a0cb0a1dae1bdf
public_v1,O1,p01766,bundle_pointer_opt,2,23,307,11,14,14,0,9,6,24,50,69,8,10,0,0,149,67,0,ab7b1f7f614da493b2a34870dc37458dfcbcb0bbebbd1648c4945627dae97d85
public_v1,O1,p01766,bundle_standard_opt_3,2,23,301,11,14,14,0,9,6,24,50,68,8,10,0,0,148,64,0,9d06d9f1dbba0cf5626f3f8ceb6f4aa613734ceeb1396fdd08353f04357c3089
public_v1,O1,p01766,bundle_storage_delift,2,23,301,11,14,14,0,9,6,24,50,68,8,10,0,0,148,64,0,9d06d9f1dbba0cf5626f3f8ceb6f4aa613734ceeb1396fdd08353f04357c3089
public_v1,O1,p01766,bundle_residual_strip,2,23,301,11,14,14,0,9,6,24,50,68,8,10,0,0,148,64,0,9d06d9f1dbba0cf5626f3f8ceb6f4aa613734ceeb1396fdd08353f04357c3089
public_v1,O1,p01766,final_clean,2,22,293,11,14,14,0,9,6,23,46,67,8,10,0,0,142,63,0,de51871a0f7ccfbb2fb35b1992908465d03bd75176b8648dc2a7638c9ff62b44
public_v1,O1,p01970,raw_lift,27,199,3585,82,46,41,5,13,0,185,496,34,5,42,0,3,715,1433,0,8fc35cc26657006371bbe31bcd544b306024bdb3eb0ab8596272c1508962bc83
public_v1,O1,p01970,brightened_main,2,68,294,4,6,6,0,0,0,19,13,23,27,13,2,0,55,93,0,44514ec5268333ce1f9f2c679b713901dde662d9022eb7e39a7faebf12b1728f
public_v1,O1,p01970,bundle_verified_input,2,68,294,4,6,6,0,0,0,19,13,23,27,13,2,0,55,93,0,db471dad511933ea296b3557e4be120634455f1f651e2e7e4434101bd8a20b0d
