dataset,level,sample_id,transition,before_stage,after_stage,pure_default_optimizer_boundary,functions_before,functions_after,functions_delta,functions_delta_ratio,blocks_before,blocks_after,blocks_delta,blocks_delta_ratio,instructions_before,instructions_after,instructions_delta,instructions_delta_ratio,conditional_branches_before,conditional_branches_after,conditional_branches_delta,conditional_branches_delta_ratio,calls_before,calls_after,calls_delta,calls_delta_ratio,direct_calls_before,direct_calls_after,direct_calls_delta,direct_calls_delta_ratio,indirect_calls_before,indirect_calls_after,indirect_calls_delta,indirect_calls_delta_ratio,intrinsics_before,intrinsics_after,intrinsics_delta,intrinsics_delta_ratio,allocas_before,allocas_after,allocas_delta,allocas_delta_ratio,loads_before,loads_after,loads_delta,loads_delta_ratio,stores_before,stores_after,stores_delta,stores_delta_ratio,geps_before,geps_after,geps_delta,geps_delta_ratio,phis_before,phis_after,phis_delta,phis_delta_ratio,selects_before,selects_after,selects_delta,selects_delta_ratio,switches_before,switches_after,switches_delta,switches_delta_ratio,unreachable_before,unreachable_after,unreachable_delta,unreachable_delta_ratio,memory_ops_before,memory_ops_after,memory_ops_delta,memory_ops_delta_ratio,scalar_cleanup_ops_before,scalar_cleanup_ops_after,scalar_cleanup_ops_delta,scalar_cleanup_ops_delta_ratio,vector_instructions_before,vector_instructions_after,vector_instructions_delta,vector_instructions_delta_ratio
own_v1,O2,h00031,main_combined_custom_plus_opt_1_2,raw_lift,brightened_main,False,27,8,-19,-0.7037037037037037,164,73,-91,-0.5548780487804879,1769,1307,-462,-0.26116449971735445,66,10,-56,-0.8484848484848485,47,19,-28,-0.5957446808510638,42,17,-25,-0.5952380952380952,5,2,-3,-0.6,14,8,-6,-0.42857142857142855,0,2,2,,107,125,18,0.16822429906542055,298,697,399,1.3389261744966443,5,71,66,13.2,2,39,37,18.5,17,22,5,0.29411764705882354,0,4,4,,3,0,-3,-1.0,410,895,485,1.1829268292682926,567,183,-384,-0.6772486772486772,0,0,0,
own_v1,O2,h00031,bundle_exact_pointer_passes,bundle_verified_input,bundle_pointer_opt,False,8,8,0,0.0,73,73,0,0.0,1307,1288,-19,-0.014537107880642693,10,10,0,0.0,19,19,0,0.0,17,17,0,0.0,2,2,0,0.0,8,8,0,0.0,2,2,0,0.0,125,124,-1,-0.008,697,697,0,0.0,71,70,-1,-0.014084507042253521,39,33,-6,-0.15384615384615385,22,22,0,0.0,4,4,0,0.0,0,0,0,,895,893,-2,-0.0022346368715083797,183,167,-16,-0.08743169398907104,0,0,0,
own_v1,O2,h00031,llvm_default_opt_boundary_3,bundle_pointer_opt,bundle_standard_opt_3,True,8,8,0,0.0,73,73,0,0.0,1288,1135,-153,-0.1187888198757764,10,10,0,0.0,19,19,0,0.0,17,17,0,0.0,2,2,0,0.0,8,8,0,0.0,2,2,0,0.0,124,88,-36,-0.2903225806451613,697,581,-116,-0.16642754662840745,70,70,0,0.0,33,33,0,0.0,22,22,0,0.0,4,4,0,0.0,0,0,0,,893,741,-152,-0.1702127659574468,167,166,-1,-0.005988023952095809,0,0,0,
own_v1,O2,h00031,custom_storage_delift,bundle_standard_opt_3,bundle_storage_delift,False,8,8,0,0.0,73,73,0,0.0,1135,1135,0,0.0,10,10,0,0.0,19,19,0,0.0,17,17,0,0.0,2,2,0,0.0,8,8,0,0.0,2,2,0,0.0,88,88,0,0.0,581,581,0,0.0,70,70,0,0.0,33,33,0,0.0,22,22,0,0.0,4,4,0,0.0,0,0,0,,741,741,0,0.0,166,166,0,0.0,0,0,0,
own_v1,O2,h00031,custom_residual_strip,bundle_storage_delift,bundle_residual_strip,False,8,8,0,0.0,73,73,0,0.0,1135,1135,0,0.0,10,10,0,0.0,19,19,0,0.0,17,17,0,0.0,2,2,0,0.0,8,8,0,0.0,2,2,0,0.0,88,88,0,0.0,581,581,0,0.0,70,70,0,0.0,33,33,0,0.0,22,22,0,0.0,4,4,0,0.0,0,0,0,,741,741,0,0.0,166,166,0,0.0,0,0,0,
own_v1,O2,h00031,final_tail_opt_4_plus_custom_cleanup,bundle_residual_strip,final_clean,False,8,8,0,0.0,73,73,0,0.0,1135,1122,-13,-0.01145374449339207,10,10,0,0.0,19,19,0,0.0,17,17,0,0.0,2,2,0,0.0,8,8,0,0.0,2,2,0,0.0,88,88,0,0.0,581,568,-13,-0.022375215146299483,70,70,0,0.0,33,33,0,0.0,22,22,0,0.0,4,4,0,0.0,0,0,0,,741,728,-13,-0.017543859649122806,166,166,0,0.0,0,0,0,
own_v1,O2,h00032,main_combined_custom_plus_opt_1_2,raw_lift,brightened_main,False,26,9,-17,-0.6538461538461539,163,70,-93,-0.5705521472392638,1389,921,-468,-0.3369330453563715,66,5,-61,-0.9242424242424242,34,12,-22,-0.6470588235294118,29,10,-19,-0.6551724137931034,5,2,-3,-0.6,7,4,-3,-0.42857142857142855,0,1,1,,84,75,-9,-0.10714285714285714,219,497,278,1.269406392694064,5,57,52,10.4,2,37,35,17.5,18,19,1,0.05555555555555555,0,2,2,,3,0,-3,-1.0,308,630,322,1.0454545454545454,464,137,-327,-0.7047413793103449,0,0,0,
own_v1,O2,h00032,bundle_exact_pointer_passes,bundle_verified_input,bundle_pointer_opt,False,9,9,0,0.0,70,70,0,0.0,921,880,-41,-0.04451682953311618,5,5,0,0.0,12,12,0,0.0,10,10,0,0.0,2,2,0,0.0,4,4,0,0.0,1,1,0,0.0,75,75,0,0.0,497,497,0,0.0,57,57,0,0.0,37,28,-9,-0.24324324324324326,19,19,0,0.0,2,2,0,0.0,0,0,0,,630,630,0,0.0,137,109,-28,-0.20437956204379562,0,0,0,
own_v1,O2,h00032,llvm_default_opt_boundary_3,bundle_pointer_opt,bundle_standard_opt_3,True,9,9,0,0.0,70,70,0,0.0,880,759,-121,-0.1375,5,5,0,0.0,12,12,0,0.0,10,10,0,0.0,2,2,0,0.0,4,4,0,0.0,1,1,0,0.0,75,65,-10,-0.13333333333333333,497,387,-110,-0.22132796780684105,57,57,0,0.0,28,28,0,0.0,19,19,0,0.0,2,2,0,0.0,0,0,0,,630,510,-120,-0.19047619047619047,109,108,-1,-0.009174311926605505,0,0,0,
own_v1,O2,h00032,custom_storage_delift,bundle_standard_opt_3,bundle_storage_delift,False,9,9,0,0.0,70,70,0,0.0,759,759,0,0.0,5,5,0,0.0,12,12,0,0.0,10,10,0,0.0,2,2,0,0.0,4,4,0,0.0,1,1,0,0.0,65,65,0,0.0,387,387,0,0.0,57,57,0,0.0,28,28,0,0.0,19,19,0,0.0,2,2,0,0.0,0,0,0,,510,510,0,0.0,108,108,0,0.0,0,0,0,
