dataset,level,sample_id,stage,functions,blocks,instructions,conditional_branches,calls,direct_calls,indirect_calls,intrinsics,allocas,loads,stores,geps,phis,selects,switches,unreachable,memory_ops,scalar_cleanup_ops,vector_instructions,structural_sha256
own_v1,O1,h00005,bundle_storage_delift,9,35,668,4,14,12,2,4,1,71,336,35,32,7,1,0,443,105,0,9148cf7b8440108f9aa1d3b1d118ad3834515ed491d8561c8c3307848bdaf536
own_v1,O1,h00005,bundle_residual_strip,9,35,668,4,14,12,2,4,1,71,336,35,32,7,1,0,443,105,0,9148cf7b8440108f9aa1d3b1d118ad3834515ed491d8561c8c3307848bdaf536
own_v1,O1,h00005,final_clean,9,35,619,4,14,12,2,4,1,71,287,35,32,7,1,0,394,105,0,51d1c9f4031c542074c86894c36a98f42edf0ee913ba1aebca057ad41ef75865
own_v1,O1,h00006,raw_lift,26,127,1347,48,34,29,5,7,0,86,195,5,2,11,0,3,286,450,0,f4561745197f8c7973dbf8b3dfad384b803f4dce9a002e4e511ef1cc6d9b918a
own_v1,O1,h00006,brightened_main,9,49,813,2,13,11,2,5,1,74,423,47,32,12,1,0,545,110,0,e522ef4ff5e11a00b99be63c28851ecc42ca8b2d8a2483f63587b022d6b7567d
own_v1,O1,h00006,bundle_verified_input,9,49,813,2,13,11,2,5,1,74,423,47,32,12,1,0,545,110,0,6a250c20feb9e763bbd98785f6b1749ab07c933b16cf33a889699a71a589b4e0
own_v1,O1,h00006,bundle_pointer_opt,9,49,789,2,13,11,2,5,1,74,423,47,24,12,1,0,545,92,0,f3247d9ad6805fd697690bb5d0a5fda6e7839f3775c70e563bd202465dc8b4af
own_v1,O1,h00006,bundle_standard_opt_3,9,49,763,2,13,11,2,5,1,64,407,47,24,12,1,0,519,92,0,c3b1f57e38b285a42637d0a955f208b59ce46a8507c70f5a14b08a5ab3fa9cfc
own_v1,O1,h00006,bundle_storage_delift,9,49,763,2,13,11,2,5,1,64,407,47,24,12,1,0,519,92,0,c3b1f57e38b285a42637d0a955f208b59ce46a8507c70f5a14b08a5ab3fa9cfc
own_v1,O1,h00006,bundle_residual_strip,9,49,763,2,13,11,2,5,1,64,407,47,24,12,1,0,519,92,0,c3b1f57e38b285a42637d0a955f208b59ce46a8507c70f5a14b08a5ab3fa9cfc
own_v1,O1,h00006,final_clean,9,49,642,2,13,11,2,5,1,64,286,47,24,12,1,0,398,92,0,f4a0541f7d33affdbf08fbf6943eb45617d613d49f85fbe8b6a9c74ca4d5688c
own_v1,O1,h00007,raw_lift,27,147,1633,57,39,34,5,11,0,97,240,6,2,11,0,3,343,535,0,a2817034ff3900955ea32d3f9ef4bbcf18117a4e06f30c71a7cca6bddd784745
own_v1,O1,h00007,brightened_main,10,48,1064,9,13,11,2,4,1,113,550,34,66,12,2,0,698,188,0,203eb0a5c746b86101294d3518fd29c9f6f7c9844d28cf77aca0919bf404f9d2
own_v1,O1,h00007,bundle_verified_input,10,48,1064,9,13,11,2,4,1,113,550,34,66,12,2,0,698,188,0,f192d6ae780739e8d8d109930d9cf474c7e10e2e9a2429c5b8ebe580194596ff
own_v1,O1,h00007,bundle_pointer_opt,10,48,1051,9,13,11,2,4,1,113,550,34,66,12,2,0,698,175,0,590890e2e6aaf23c6ae66354486a5c7aa0e4e7156cd2c285cbdf291c3d967600
own_v1,O1,h00007,bundle_standard_opt_3,10,48,986,9,13,11,2,4,1,101,503,34,64,12,2,0,639,170,0,2a2c7d7325ba49af1fa9cea0739dfdd5cda84a6642f1def13b316f8bf074e6e4
own_v1,O1,h00007,bundle_storage_delift,10,48,986,9,13,11,2,4,1,101,503,34,64,12,2,0,639,170,0,2a2c7d7325ba49af1fa9cea0739dfdd5cda84a6642f1def13b316f8bf074e6e4
own_v1,O1,h00007,bundle_residual_strip,10,48,986,9,13,11,2,4,1,101,503,34,64,12,2,0,639,170,0,2a2c7d7325ba49af1fa9cea0739dfdd5cda84a6642f1def13b316f8bf074e6e4
own_v1,O1,h00007,final_clean,10,48,919,9,13,11,2,4,1,101,438,34,64,12,2,0,574,169,0,2fb2b5b2f96284414ee8d17ff2499d6b109e114b83e96b988749917ecb66cc9d
own_v1,O1,h00008,raw_lift,27,110,1244,39,40,35,5,10,0,84,212,5,2,8,0,3,301,397,0,b70749730895daabac82dc2e820194a8fd255406f88f8a4b6b0891fff3dd0589
own_v1,O1,h00008,brightened_main,9,44,924,6,20,18,2,6,1,94,497,40,41,9,2,0,632,134,0,20aef7083d1d0c648706f443094de7728bfab961c9c633f0e1a57b4e55ee3d39
own_v1,O1,h00008,bundle_verified_input,9,44,924,6,20,18,2,6,1,94,497,40,41,9,2,0,632,134,0,84828737e8e58fbde4be725ecf794ef6060285e93ae40a7e26cfa34b702e3256
own_v1,O1,h00008,bundle_pointer_opt,9,44,909,6,20,18,2,6,1,94,497,40,36,9,2,0,632,120,0,0796993c1f1132b352feac840f01810d07ca49b37991772d0ce60c05fb2b5ca4
own_v1,O1,h00008,bundle_standard_opt_3,9,44,887,6,20,18,2,6,1,86,483,40,36,9,2,0,610,120,0,dc8dad2a7ea858f10591b06d5cade9309e1b3d32b0c2fa1907f550d552bcc238
own_v1,O1,h00008,bundle_storage_delift,9,44,887,6,20,18,2,6,1,86,483,40,36,9,2,0,610,120,0,dc8dad2a7ea858f10591b06d5cade9309e1b3d32b0c2fa1907f550d552bcc238
own_v1,O1,h00008,bundle_residual_strip,9,44,887,6,20,18,2,6,1,86,483,40,36,9,2,0,610,120,0,dc8dad2a7ea858f10591b06d5cade9309e1b3d32b0c2fa1907f550d552bcc238
own_v1,O1,h00008,final_clean,9,44,795,6,20,18,2,6,1,86,392,40,36,9,2,0,519,119,0,ea246995e135299cbed1e054abdfc67bc4d12a2c64b085f6c0ea9439e2a164b2
