dataset,level,sample_id,transition,pure_default_optimizer_boundary,opcode,before,after,delta
own_v1,O1,h00012,main_combined_custom_plus_opt_1_2,False,phi,2,2,0
own_v1,O1,h00012,main_combined_custom_plus_opt_1_2,False,ptrtoint,0,1,1
own_v1,O1,h00012,main_combined_custom_plus_opt_1_2,False,ret,26,2,-24
own_v1,O1,h00012,main_combined_custom_plus_opt_1_2,False,select,4,3,-1
own_v1,O1,h00012,main_combined_custom_plus_opt_1_2,False,shl,31,6,-25
own_v1,O1,h00012,main_combined_custom_plus_opt_1_2,False,store,159,26,-133
own_v1,O1,h00012,main_combined_custom_plus_opt_1_2,False,sub,39,0,-39
own_v1,O1,h00012,main_combined_custom_plus_opt_1_2,False,switch,0,1,1
own_v1,O1,h00012,main_combined_custom_plus_opt_1_2,False,trunc,123,0,-123
own_v1,O1,h00012,main_combined_custom_plus_opt_1_2,False,unreachable,3,0,-3
own_v1,O1,h00012,main_combined_custom_plus_opt_1_2,False,xor,39,8,-31
own_v1,O1,h00012,main_combined_custom_plus_opt_1_2,False,zext,109,0,-109
own_v1,O1,h00012,bundle_exact_pointer_passes,False,add,6,6,0
own_v1,O1,h00012,bundle_exact_pointer_passes,False,alloca,2,2,0
own_v1,O1,h00012,bundle_exact_pointer_passes,False,and,5,5,0
own_v1,O1,h00012,bundle_exact_pointer_passes,False,br,11,11,0
own_v1,O1,h00012,bundle_exact_pointer_passes,False,call,2,2,0
own_v1,O1,h00012,bundle_exact_pointer_passes,False,getelementptr,23,23,0
own_v1,O1,h00012,bundle_exact_pointer_passes,False,icmp,3,3,0
own_v1,O1,h00012,bundle_exact_pointer_passes,False,inttoptr,1,1,0
own_v1,O1,h00012,bundle_exact_pointer_passes,False,load,13,13,0
own_v1,O1,h00012,bundle_exact_pointer_passes,False,lshr,2,2,0
own_v1,O1,h00012,bundle_exact_pointer_passes,False,mul,1,1,0
own_v1,O1,h00012,bundle_exact_pointer_passes,False,phi,2,2,0
own_v1,O1,h00012,bundle_exact_pointer_passes,False,ptrtoint,1,1,0
own_v1,O1,h00012,bundle_exact_pointer_passes,False,ret,2,2,0
own_v1,O1,h00012,bundle_exact_pointer_passes,False,select,3,3,0
own_v1,O1,h00012,bundle_exact_pointer_passes,False,shl,6,6,0
own_v1,O1,h00012,bundle_exact_pointer_passes,False,store,26,26,0
own_v1,O1,h00012,bundle_exact_pointer_passes,False,switch,1,1,0
own_v1,O1,h00012,bundle_exact_pointer_passes,False,xor,8,8,0
own_v1,O1,h00012,llvm_default_opt_boundary_3,True,add,6,6,0
own_v1,O1,h00012,llvm_default_opt_boundary_3,True,alloca,2,2,0
own_v1,O1,h00012,llvm_default_opt_boundary_3,True,and,5,5,0
own_v1,O1,h00012,llvm_default_opt_boundary_3,True,br,11,11,0
own_v1,O1,h00012,llvm_default_opt_boundary_3,True,call,2,2,0
own_v1,O1,h00012,llvm_default_opt_boundary_3,True,getelementptr,23,13,-10
own_v1,O1,h00012,llvm_default_opt_boundary_3,True,icmp,3,3,0
own_v1,O1,h00012,llvm_default_opt_boundary_3,True,inttoptr,1,1,0
own_v1,O1,h00012,llvm_default_opt_boundary_3,True,load,13,13,0
own_v1,O1,h00012,llvm_default_opt_boundary_3,True,lshr,2,2,0
own_v1,O1,h00012,llvm_default_opt_boundary_3,True,mul,1,1,0
own_v1,O1,h00012,llvm_default_opt_boundary_3,True,phi,2,2,0
own_v1,O1,h00012,llvm_default_opt_boundary_3,True,ptrtoint,1,1,0
own_v1,O1,h00012,llvm_default_opt_boundary_3,True,ret,2,2,0
own_v1,O1,h00012,llvm_default_opt_boundary_3,True,select,3,3,0
own_v1,O1,h00012,llvm_default_opt_boundary_3,True,shl,6,6,0
own_v1,O1,h00012,llvm_default_opt_boundary_3,True,store,26,26,0
own_v1,O1,h00012,llvm_default_opt_boundary_3,True,switch,1,1,0
own_v1,O1,h00012,llvm_default_opt_boundary_3,True,xor,8,8,0
own_v1,O1,h00012,custom_storage_delift,False,add,6,6,0
own_v1,O1,h00012,custom_storage_delift,False,alloca,2,2,0
own_v1,O1,h00012,custom_storage_delift,False,and,5,5,0
own_v1,O1,h00012,custom_storage_delift,False,br,11,11,0
own_v1,O1,h00012,custom_storage_delift,False,call,2,2,0
own_v1,O1,h00012,custom_storage_delift,False,getelementptr,13,13,0
own_v1,O1,h00012,custom_storage_delift,False,icmp,3,3,0
own_v1,O1,h00012,custom_storage_delift,False,inttoptr,1,1,0
own_v1,O1,h00012,custom_storage_delift,False,load,13,13,0
own_v1,O1,h00012,custom_storage_delift,False,lshr,2,2,0
own_v1,O1,h00012,custom_storage_delift,False,mul,1,1,0
own_v1,O1,h00012,custom_storage_delift,False,phi,2,2,0
own_v1,O1,h00012,custom_storage_delift,False,ptrtoint,1,1,0
own_v1,O1,h00012,custom_storage_delift,False,ret,2,2,0
own_v1,O1,h00012,custom_storage_delift,False,select,3,3,0
own_v1,O1,h00012,custom_storage_delift,False,shl,6,6,0
own_v1,O1,h00012,custom_storage_delift,False,store,26,26,0
own_v1,O1,h00012,custom_storage_delift,False,switch,1,1,0
own_v1,O1,h00012,custom_storage_delift,False,xor,8,8,0
own_v1,O1,h00012,custom_residual_strip,False,add,6,6,0
own_v1,O1,h00012,custom_residual_strip,False,alloca,2,2,0
own_v1,O1,h00012,custom_residual_strip,False,and,5,5,0
own_v1,O1,h00012,custom_residual_strip,False,br,11,11,0
own_v1,O1,h00012,custom_residual_strip,False,call,2,2,0
own_v1,O1,h00012,custom_residual_strip,False,getelementptr,13,13,0
own_v1,O1,h00012,custom_residual_strip,False,icmp,3,3,0
own_v1,O1,h00012,custom_residual_strip,False,inttoptr,1,1,0
own_v1,O1,h00012,custom_residual_strip,False,load,13,13,0
own_v1,O1,h00012,custom_residual_strip,False,lshr,2,2,0
own_v1,O1,h00012,custom_residual_strip,False,mul,1,1,0
own_v1,O1,h00012,custom_residual_strip,False,phi,2,2,0
own_v1,O1,h00012,custom_residual_strip,False,ptrtoint,1,1,0
own_v1,O1,h00012,custom_residual_strip,False,ret,2,2,0
own_v1,O1,h00012,custom_residual_strip,False,select,3,3,0
own_v1,O1,h00012,custom_residual_strip,False,shl,6,6,0
own_v1,O1,h00012,custom_residual_strip,False,store,26,26,0
own_v1,O1,h00012,custom_residual_strip,False,switch,1,1,0
own_v1,O1,h00012,custom_residual_strip,False,xor,8,8,0
