dataset,level,sample_id,boundary,production_replay_valid,opcode,before,after,delta
public_v1,O1,p00008,bundle_post_opt_4_custom_cleanup,True,and,7,7,0
public_v1,O1,p00008,bundle_post_opt_4_custom_cleanup,True,br,24,24,0
public_v1,O1,p00008,bundle_post_opt_4_custom_cleanup,True,call,7,7,0
public_v1,O1,p00008,bundle_post_opt_4_custom_cleanup,True,getelementptr,45,45,0
public_v1,O1,p00008,bundle_post_opt_4_custom_cleanup,True,icmp,22,22,0
public_v1,O1,p00008,bundle_post_opt_4_custom_cleanup,True,inttoptr,1,1,0
public_v1,O1,p00008,bundle_post_opt_4_custom_cleanup,True,load,31,17,-14
public_v1,O1,p00008,bundle_post_opt_4_custom_cleanup,True,mul,2,2,0
public_v1,O1,p00008,bundle_post_opt_4_custom_cleanup,True,or,4,4,0
public_v1,O1,p00008,bundle_post_opt_4_custom_cleanup,True,phi,6,35,29
public_v1,O1,p00008,bundle_post_opt_4_custom_cleanup,True,ptrtoint,2,2,0
public_v1,O1,p00008,bundle_post_opt_4_custom_cleanup,True,ret,2,2,0
public_v1,O1,p00008,bundle_post_opt_4_custom_cleanup,True,select,3,3,0
public_v1,O1,p00008,bundle_post_opt_4_custom_cleanup,True,sext,3,2,-1
public_v1,O1,p00008,bundle_post_opt_4_custom_cleanup,True,shl,3,3,0
public_v1,O1,p00008,bundle_post_opt_4_custom_cleanup,True,store,39,39,0
public_v1,O1,p00008,bundle_post_opt_4_custom_cleanup,True,trunc,2,2,0
public_v1,O1,p00008,bundle_post_opt_4_custom_cleanup,True,xor,6,6,0
public_v1,O1,p00008,bundle_post_opt_4_custom_cleanup,True,zext,5,6,1
public_v1,O1,p00033,main_default_opt_1,True,add,195,111,-84
public_v1,O1,p00033,main_default_opt_1,True,alloca,14,4,-10
public_v1,O1,p00033,main_default_opt_1,True,and,133,126,-7
public_v1,O1,p00033,main_default_opt_1,True,bitcast,2,2,0
public_v1,O1,p00033,main_default_opt_1,True,br,87,84,-3
public_v1,O1,p00033,main_default_opt_1,True,call,40,21,-19
public_v1,O1,p00033,main_default_opt_1,True,extractvalue,28,8,-20
public_v1,O1,p00033,main_default_opt_1,True,fcmp,1,1,0
public_v1,O1,p00033,main_default_opt_1,True,fptosi,1,1,0
public_v1,O1,p00033,main_default_opt_1,True,getelementptr,239,121,-118
public_v1,O1,p00033,main_default_opt_1,True,icmp,82,78,-4
public_v1,O1,p00033,main_default_opt_1,True,insertvalue,37,4,-33
public_v1,O1,p00033,main_default_opt_1,True,inttoptr,11,10,-1
public_v1,O1,p00033,main_default_opt_1,True,load,148,138,-10
public_v1,O1,p00033,main_default_opt_1,True,lshr,9,5,-4
public_v1,O1,p00033,main_default_opt_1,True,mul,39,38,-1
public_v1,O1,p00033,main_default_opt_1,True,or,94,92,-2
public_v1,O1,p00033,main_default_opt_1,True,phi,19,19,0
public_v1,O1,p00033,main_default_opt_1,True,ptrtoint,13,12,-1
public_v1,O1,p00033,main_default_opt_1,True,ret,4,3,-1
public_v1,O1,p00033,main_default_opt_1,True,select,41,42,1
public_v1,O1,p00033,main_default_opt_1,True,sext,22,22,0
public_v1,O1,p00033,main_default_opt_1,True,shl,20,20,0
public_v1,O1,p00033,main_default_opt_1,True,sitofp,1,1,0
public_v1,O1,p00033,main_default_opt_1,True,store,306,223,-83
public_v1,O1,p00033,main_default_opt_1,True,sub,76,12,-64
public_v1,O1,p00033,main_default_opt_1,True,switch,3,2,-1
public_v1,O1,p00033,main_default_opt_1,True,trunc,8,4,-4
public_v1,O1,p00033,main_default_opt_1,True,xor,60,57,-3
public_v1,O1,p00033,main_default_opt_1,True,zext,106,95,-11
public_v1,O1,p00033,main_default_opt_2,True,add,59,58,-1
public_v1,O1,p00033,main_default_opt_2,True,alloca,13,13,0
public_v1,O1,p00033,main_default_opt_2,True,and,30,3,-27
public_v1,O1,p00033,main_default_opt_2,True,br,84,78,-6
public_v1,O1,p00033,main_default_opt_2,True,call,37,14,-23
public_v1,O1,p00033,main_default_opt_2,True,extractvalue,4,4,0
public_v1,O1,p00033,main_default_opt_2,True,fcmp,1,1,0
public_v1,O1,p00033,main_default_opt_2,True,fptosi,1,1,0
public_v1,O1,p00033,main_default_opt_2,True,getelementptr,98,72,-26
public_v1,O1,p00033,main_default_opt_2,True,icmp,32,28,-4
public_v1,O1,p00033,main_default_opt_2,True,insertvalue,4,2,-2
public_v1,O1,p00033,main_default_opt_2,True,inttoptr,4,4,0
public_v1,O1,p00033,main_default_opt_2,True,load,68,82,14
public_v1,O1,p00033,main_default_opt_2,True,lshr,2,2,0
public_v1,O1,p00033,main_default_opt_2,True,mul,10,10,0
public_v1,O1,p00033,main_default_opt_2,True,or,26,0,-26
public_v1,O1,p00033,main_default_opt_2,True,phi,3,5,2
public_v1,O1,p00033,main_default_opt_2,True,ptrtoint,4,4,0
public_v1,O1,p00033,main_default_opt_2,True,ret,3,3,0
public_v1,O1,p00033,main_default_opt_2,True,select,27,26,-1
public_v1,O1,p00033,main_default_opt_2,True,sext,22,22,0
public_v1,O1,p00033,main_default_opt_2,True,shl,20,20,0
public_v1,O1,p00033,main_default_opt_2,True,sitofp,1,1,0
public_v1,O1,p00033,main_default_opt_2,True,store,172,116,-56
public_v1,O1,p00033,main_default_opt_2,True,sub,12,5,-7
public_v1,O1,p00033,main_default_opt_2,True,switch,2,2,0
public_v1,O1,p00033,main_default_opt_2,True,xor,4,3,-1
public_v1,O1,p00033,main_default_opt_2,True,zext,6,4,-2
public_v1,O1,p00033,bundle_default_opt_3,True,add,49,46,-3
public_v1,O1,p00033,bundle_default_opt_3,True,alloca,13,13,0
public_v1,O1,p00033,bundle_default_opt_3,True,and,3,3,0
public_v1,O1,p00033,bundle_default_opt_3,True,br,78,77,-1
public_v1,O1,p00033,bundle_default_opt_3,True,call,18,18,0
public_v1,O1,p00033,bundle_default_opt_3,True,extractvalue,2,0,-2
public_v1,O1,p00033,bundle_default_opt_3,True,fcmp,1,1,0
public_v1,O1,p00033,bundle_default_opt_3,True,fptosi,1,1,0
public_v1,O1,p00033,bundle_default_opt_3,True,getelementptr,66,66,0
public_v1,O1,p00033,bundle_default_opt_3,True,icmp,19,20,1
public_v1,O1,p00033,bundle_default_opt_3,True,insertvalue,2,0,-2
public_v1,O1,p00033,bundle_default_opt_3,True,inttoptr,1,1,0
public_v1,O1,p00033,bundle_default_opt_3,True,load,82,81,-1
public_v1,O1,p00033,bundle_default_opt_3,True,lshr,2,2,0
public_v1,O1,p00033,bundle_default_opt_3,True,mul,10,10,0
public_v1,O1,p00033,bundle_default_opt_3,True,phi,5,6,1
public_v1,O1,p00033,bundle_default_opt_3,True,ptrtoint,8,3,-5
public_v1,O1,p00033,bundle_default_opt_3,True,ret,4,4,0
public_v1,O1,p00033,bundle_default_opt_3,True,select,17,17,0
public_v1,O1,p00033,bundle_default_opt_3,True,sext,22,20,-2
public_v1,O1,p00033,bundle_default_opt_3,True,shl,20,20,0
public_v1,O1,p00033,bundle_default_opt_3,True,sitofp,1,1,0
public_v1,O1,p00033,bundle_default_opt_3,True,store,116,116,0
public_v1,O1,p00033,bundle_default_opt_3,True,sub,6,6,0
public_v1,O1,p00033,bundle_default_opt_3,True,switch,2,2,0
public_v1,O1,p00033,bundle_default_opt_3,True,trunc,0,1,1
public_v1,O1,p00033,bundle_default_opt_3,True,xor,3,3,0
public_v1,O1,p00033,bundle_default_opt_3,True,zext,4,4,0
public_v1,O1,p00033,bundle_default_opt_4,True,add,46,46,0
public_v1,O1,p00033,bundle_default_opt_4,True,alloca,13,13,0
public_v1,O1,p00033,bundle_default_opt_4,True,and,3,3,0
public_v1,O1,p00033,bundle_default_opt_4,True,br,77,77,0
public_v1,O1,p00033,bundle_default_opt_4,True,call,18,18,0
public_v1,O1,p00033,bundle_default_opt_4,True,fcmp,1,1,0
public_v1,O1,p00033,bundle_default_opt_4,True,fptosi,1,1,0
public_v1,O1,p00033,bundle_default_opt_4,True,getelementptr,66,66,0
public_v1,O1,p00033,bundle_default_opt_4,True,icmp,20,20,0
public_v1,O1,p00033,bundle_default_opt_4,True,inttoptr,1,1,0
public_v1,O1,p00033,bundle_default_opt_4,True,load,81,81,0
public_v1,O1,p00033,bundle_default_opt_4,True,lshr,2,2,0
public_v1,O1,p00033,bundle_default_opt_4,True,mul,10,10,0
public_v1,O1,p00033,bundle_default_opt_4,True,phi,6,6,0
public_v1,O1,p00033,bundle_default_opt_4,True,ptrtoint,3,3,0
public_v1,O1,p00033,bundle_default_opt_4,True,ret,4,4,0
public_v1,O1,p00033,bundle_default_opt_4,True,select,17,17,0
public_v1,O1,p00033,bundle_default_opt_4,True,sext,20,20,0
public_v1,O1,p00033,bundle_default_opt_4,True,shl,20,20,0
public_v1,O1,p00033,bundle_default_opt_4,True,sitofp,1,1,0
public_v1,O1,p00033,bundle_default_opt_4,True,store,116,116,0
public_v1,O1,p00033,bundle_default_opt_4,True,sub,6,6,0
public_v1,O1,p00033,bundle_default_opt_4,True,switch,2,2,0
public_v1,O1,p00033,bundle_default_opt_4,True,trunc,1,1,0
public_v1,O1,p00033,bundle_default_opt_4,True,xor,3,3,0
public_v1,O1,p00033,bundle_default_opt_4,True,zext,4,4,0
public_v1,O1,p00033,bundle_post_opt_4_custom_cleanup,True,add,46,46,0
public_v1,O1,p00033,bundle_post_opt_4_custom_cleanup,True,alloca,13,13,0
public_v1,O1,p00033,bundle_post_opt_4_custom_cleanup,True,and,3,3,0
public_v1,O1,p00033,bundle_post_opt_4_custom_cleanup,True,br,77,77,0
public_v1,O1,p00033,bundle_post_opt_4_custom_cleanup,True,call,18,18,0
public_v1,O1,p00033,bundle_post_opt_4_custom_cleanup,True,fcmp,1,1,0
public_v1,O1,p00033,bundle_post_opt_4_custom_cleanup,True,fptosi,1,1,0
public_v1,O1,p00033,bundle_post_opt_4_custom_cleanup,True,getelementptr,66,65,-1
public_v1,O1,p00033,bundle_post_opt_4_custom_cleanup,True,icmp,20,20,0
public_v1,O1,p00033,bundle_post_opt_4_custom_cleanup,True,inttoptr,1,1,0
public_v1,O1,p00033,bundle_post_opt_4_custom_cleanup,True,load,81,79,-2
public_v1,O1,p00033,bundle_post_opt_4_custom_cleanup,True,lshr,2,2,0
public_v1,O1,p00033,bundle_post_opt_4_custom_cleanup,True,mul,10,10,0
public_v1,O1,p00033,bundle_post_opt_4_custom_cleanup,True,phi,6,9,3
public_v1,O1,p00033,bundle_post_opt_4_custom_cleanup,True,ptrtoint,3,3,0
public_v1,O1,p00033,bundle_post_opt_4_custom_cleanup,True,ret,4,4,0
public_v1,O1,p00033,bundle_post_opt_4_custom_cleanup,True,select,17,16,-1
public_v1,O1,p00033,bundle_post_opt_4_custom_cleanup,True,sext,20,20,0
public_v1,O1,p00033,bundle_post_opt_4_custom_cleanup,True,shl,20,20,0
public_v1,O1,p00033,bundle_post_opt_4_custom_cleanup,True,sitofp,1,1,0
public_v1,O1,p00033,bundle_post_opt_4_custom_cleanup,True,store,116,95,-21
public_v1,O1,p00033,bundle_post_opt_4_custom_cleanup,True,sub,6,6,0
public_v1,O1,p00033,bundle_post_opt_4_custom_cleanup,True,switch,2,2,0
public_v1,O1,p00033,bundle_post_opt_4_custom_cleanup,True,trunc,1,1,0
public_v1,O1,p00033,bundle_post_opt_4_custom_cleanup,True,xor,3,3,0
public_v1,O1,p00033,bundle_post_opt_4_custom_cleanup,True,zext,4,4,0
public_v1,O1,p00165,main_default_opt_1,True,add,125,96,-29
public_v1,O1,p00165,main_default_opt_1,True,alloca,7,5,-2
public_v1,O1,p00165,main_default_opt_1,True,and,12,8,-4
public_v1,O1,p00165,main_default_opt_1,True,br,26,24,-2
public_v1,O1,p00165,main_default_opt_1,True,call,17,12,-5
public_v1,O1,p00165,main_default_opt_1,True,extractvalue,14,0,-14
public_v1,O1,p00165,main_default_opt_1,True,getelementptr,230,133,-97
public_v1,O1,p00165,main_default_opt_1,True,icmp,97,89,-8
public_v1,O1,p00165,main_default_opt_1,True,insertvalue,22,0,-22
public_v1,O1,p00165,main_default_opt_1,True,inttoptr,40,36,-4
public_v1,O1,p00165,main_default_opt_1,True,load,105,85,-20
public_v1,O1,p00165,main_default_opt_1,True,mul,3,3,0
public_v1,O1,p00165,main_default_opt_1,True,or,7,8,1
public_v1,O1,p00165,main_default_opt_1,True,phi,7,12,5
public_v1,O1,p00165,main_default_opt_1,True,ptrtoint,9,8,-1
public_v1,O1,p00165,main_default_opt_1,True,ret,3,2,-1
public_v1,O1,p00165,main_default_opt_1,True,select,91,88,-3
