dataset,level,sample_id,boundary,before_path,after_path,production_replay_valid,functions_before,functions_after,functions_delta,blocks_before,blocks_after,blocks_delta,instructions_before,instructions_after,instructions_delta,conditional_branches_before,conditional_branches_after,conditional_branches_delta,calls_before,calls_after,calls_delta,direct_calls_before,direct_calls_after,direct_calls_delta,indirect_calls_before,indirect_calls_after,indirect_calls_delta,intrinsics_before,intrinsics_after,intrinsics_delta,allocas_before,allocas_after,allocas_delta,loads_before,loads_after,loads_delta,stores_before,stores_after,stores_delta,geps_before,geps_after,geps_delta,phis_before,phis_after,phis_delta,selects_before,selects_after,selects_delta,switches_before,switches_after,switches_delta,unreachable_before,unreachable_after,unreachable_delta,memory_ops_before,memory_ops_after,memory_ops_delta,scalar_cleanup_ops_before,scalar_cleanup_ops_after,scalar_cleanup_ops_delta,vector_instructions_before,vector_instructions_after,vector_instructions_delta
public_v1,O1,p00033,main_default_opt_1,/home/dungbv/clau/reports/ir_boundary_public_20260816/artifacts/O1/p00033/main_opt_1.before.ll,/home/dungbv/clau/reports/ir_boundary_public_20260816/artifacts/O1/p00033/main_opt_1.after.ll,True,4,3,-1,97,91,-6,1839,1356,-483,7,5,-2,40,21,-19,40,21,-19,0,0,0,28,10,-18,14,4,-10,148,138,-10,306,223,-83,239,121,-118,19,19,0,41,42,1,3,2,-1,0,0,0,707,486,-221,305,285,-20,0,0,0
public_v1,O1,p00033,main_default_opt_2,/home/dungbv/clau/reports/ir_boundary_public_20260816/artifacts/O1/p00033/main_opt_2.before.ll,/home/dungbv/clau/reports/ir_boundary_public_20260816/artifacts/O1/p00033/main_opt_2.after.ll,True,3,3,0,91,85,-6,749,583,-166,5,4,-1,37,14,-23,37,14,-23,0,0,0,26,3,-23,13,13,0,68,82,14,172,116,-56,98,72,-26,3,5,2,27,26,-1,2,2,0,0,0,0,351,283,-68,99,94,-5,0,0,0
public_v1,O1,p00033,bundle_default_opt_3,/home/dungbv/clau/result/ir_public_o1_20260816/p00033/p00033_final.02-pointer-opt.ll,/home/dungbv/clau/reports/ir_boundary_public_20260816/artifacts/O1/p00033/bundle_default_opt_3.after.ll,True,4,4,0,87,86,-1,555,542,-13,4,4,0,18,18,0,18,18,0,0,0,0,3,3,0,13,13,0,82,81,-1,116,116,0,66,66,0,5,6,1,17,17,0,2,2,0,0,0,0,277,276,-1,77,73,-4,0,0,0
public_v1,O1,p00033,bundle_default_opt_4,/home/dungbv/clau/result/ir_public_o1_20260816/p00033/p00033_final.05-unpinned.ll,/home/dungbv/clau/reports/ir_boundary_public_20260816/artifacts/O1/p00033/bundle_default_opt_4.after.ll,True,4,4,0,86,86,0,542,542,0,4,4,0,18,18,0,18,18,0,0,0,0,3,3,0,13,13,0,81,81,0,116,116,0,66,66,0,6,6,0,17,17,0,2,2,0,0,0,0,276,276,0,73,73,0,0,0,0
public_v1,O1,p00033,bundle_post_opt_4_custom_cleanup,/home/dungbv/clau/reports/ir_boundary_public_20260816/artifacts/O1/p00033/bundle_default_opt_4.after.ll,/home/dungbv/clau/result/ir_public_o1_20260816/p00033/p00033_final.ll,True,4,4,0,86,86,0,542,520,-22,4,4,0,18,18,0,18,18,0,0,0,0,3,3,0,13,13,0,81,79,-2,116,95,-21,66,65,-1,6,9,3,17,16,-1,2,2,0,0,0,0,276,252,-24,73,75,2,0,0,0
public_v1,O1,p00165,main_default_opt_1,/home/dungbv/clau/reports/ir_boundary_public_20260816/artifacts/O1/p00165/main_opt_1.before.ll,/home/dungbv/clau/reports/ir_boundary_public_20260816/artifacts/O1/p00165/main_opt_1.after.ll,True,3,2,-1,31,27,-4,1067,842,-225,11,14,3,17,12,-5,17,12,-5,0,0,0,13,9,-4,7,5,-2,105,85,-20,199,199,0,230,133,-97,7,12,5,91,88,-3,0,0,0,0,0,0,541,422,-119,266,253,-13,0,0,0
public_v1,O1,p00165,main_default_opt_2,/home/dungbv/clau/reports/ir_boundary_public_20260816/artifacts/O1/p00165/main_opt_2.before.ll,/home/dungbv/clau/reports/ir_boundary_public_20260816/artifacts/O1/p00165/main_opt_2.after.ll,True,2,2,0,27,27,0,1071,781,-290,14,14,0,11,13,2,11,13,2,0,0,0,8,10,2,5,5,0,72,72,0,171,165,-6,151,137,-14,14,14,0,106,96,-10,0,0,0,0,0,0,399,379,-20,312,252,-60,0,0,0
public_v1,O1,p00165,bundle_default_opt_3,/home/dungbv/clau/result/ir_public_o1_20260816/p00165/p00165_final.02-pointer-opt.ll,/home/dungbv/clau/reports/ir_boundary_public_20260816/artifacts/O1/p00165/bundle_default_opt_3.after.ll,True,3,3,0,28,27,-1,296,268,-28,13,14,1,18,18,0,18,18,0,0,0,0,10,10,0,5,5,0,40,37,-3,59,59,0,69,45,-24,11,10,-1,2,2,0,0,0,0,0,0,0,173,146,-27,44,44,0,0,0,0
public_v1,O1,p00165,bundle_default_opt_4,/home/dungbv/clau/result/ir_public_o1_20260816/p00165/p00165_final.05-unpinned.ll,/home/dungbv/clau/reports/ir_boundary_public_20260816/artifacts/O1/p00165/bundle_default_opt_4.after.ll,True,3,3,0,27,27,0,268,267,-1,14,14,0,18,18,0,18,18,0,0,0,0,10,10,0,5,5,0,37,36,-1,59,59,0,45,45,0,10,10,0,2,2,0,0,0,0,0,0,0,146,145,-1,44,44,0,0,0,0
public_v1,O1,p00165,bundle_post_opt_4_custom_cleanup,/home/dungbv/clau/reports/ir_boundary_public_20260816/artifacts/O1/p00165/bundle_default_opt_4.after.ll,/home/dungbv/clau/result/ir_public_o1_20260816/p00165/p00165_final.ll,True,3,3,0,27,27,0,267,265,-2,14,14,0,18,18,0,18,18,0,0,0,0,10,10,0,5,5,0,36,25,-11,59,58,-1,45,45,0,10,20,10,2,2,0,0,0,0,0,0,0,145,133,-12,44,54,10,0,0,0
public_v1,O1,p00327,main_default_opt_1,/home/dungbv/clau/reports/ir_boundary_public_20260816/artifacts/O1/p00327/main_opt_1.before.ll,/home/dungbv/clau/reports/ir_boundary_public_20260816/artifacts/O1/p00327/main_opt_1.after.ll,True,3,2,-1,33,27,-6,1085,781,-304,14,18,4,14,7,-7,14,7,-7,0,0,0,10,4,-6,5,3,-2,111,56,-55,167,144,-23,168,100,-68,20,29,9,63,66,3,0,0,0,0,0,0,451,303,-148,276,255,-21,0,0,0
