experiment_id,sample_id,flow_id,repeat_id,llm_calls,input_tokens,output_tokens,total_tokens,estimated_api_cost,llm_latency,preprocessing_time,compile_time,fuzzing_time,total_runtime,time_to_first_candidate,time_to_first_compilable_candidate,time_to_first_behavioral_pass_candidate,compiler_attempts,compile_repair_rounds,behavioral_repair_rounds,counterexamples_used,peak_memory,cpu_time
experiment_20260821_162746,p01296,B1,0,1,59810,37900,97710,,96.25622701644897,,0.0,0.0,96.64431238174438,,,,0,0,0,0,,
experiment_20260821_162746,p01296,B2,0,1,148217,2085,150302,,93.19694781303406,,0.1477959156036377,14.43948769569397,107.81431341171265,,,,1,0,0,0,,
experiment_20260821_162746,p01296,F1,0,5,1416065,11372,1427437,,501.4547917842865,,0.33559441566467285,19.453596591949463,521.329999923706,,,,2,0,1,7,,
experiment_20260821_162746,p01296,F2,0,5,2822539,6868,2829407,,534.1281473636627,,0.43149518966674805,10.660097599029541,545.3164772987366,,,,3,0,2,7,,
experiment_20260821_162746,p01296,F3,0,1,279867,2073,281940,,79.4896731376648,,0.08498239517211914,2.072922468185425,81.67463946342468,,,,1,0,0,0,,
experiment_20260821_162746,p01315,B1,0,1,36805,8853,45658,,38.527520179748535,,0.0,0.0,38.53285527229309,,,,0,0,0,0,,
experiment_20260821_162746,p01315,B2,0,1,31330,563,31893,,9.268862962722778,,0.40320611000061035,6.3194897174835205,16.023834705352783,,,,1,0,0,0,,
experiment_20260821_162746,p01315,F1,0,1,50108,529,50637,,33.27295136451721,,0.14643311500549316,4.523715257644653,37.98418188095093,,,,1,0,0,0,,
experiment_20260821_162746,p01315,F2,0,4,1023290,6411,1029701,,278.7379319667816,,0.34323549270629883,15.784550666809082,294.9844446182251,,,,2,0,1,7,,
experiment_20260821_162746,p01315,F3,0,1,50796,620,51416,,28.538230419158936,,0.21315360069274902,4.080475091934204,32.86613750457764,,,,1,0,0,0,,
experiment_20260821_162746,p01571,B1,0,1,74083,32943,107026,,83.10214424133301,,0.0,0.0,83.13689303398132,,,,0,0,0,0,,
experiment_20260821_162746,p01571,B2,0,1,88924,1808,90732,,29.61276388168335,,0.08954858779907227,2.385835647583008,32.10854649543762,,,,1,0,0,0,,
experiment_20260821_162746,p01571,F1,0,5,1022629,11612,1034241,,406.88068890571594,,0.0,0.0,406.9035611152649,,,,0,0,0,0,,
experiment_20260821_162746,p01571,F2,0,5,2676190,7852,2684042,,611.9010891914368,,0.2624521255493164,13.050954341888428,625.2904760837555,,,,3,0,2,14,,
experiment_20260821_162746,p01571,F3,0,1,204268,2553,206821,,66.12573051452637,,0.0,0.0,66.12952446937561,,,,0,0,0,0,,
experiment_20260821_162746,p01687,B1,0,1,35557,7471,43028,,33.89210915565491,,0.0,0.0,33.9341402053833,,,,0,0,0,0,,
experiment_20260821_162746,p01687,B2,0,1,28092,390,28482,,14.601593017578125,,0.06408929824829102,3.1448092460632324,17.82902693748474,,,,1,0,0,0,,
experiment_20260821_162746,p01687,F1,0,1,52708,529,53237,,35.73472452163696,,0.05991673469543457,3.0687484741210938,38.87997269630432,,,,1,0,0,0,,
experiment_20260821_162746,p01687,F2,0,3,647566,3625,651191,,183.00262546539307,,0.4498326778411865,15.949883699417114,199.51358151435852,,,,2,0,1,7,,
experiment_20260821_162746,p01687,F3,0,1,91225,527,91752,,58.231114864349365,,0.15152239799499512,1.6227226257324219,60.0510835647583,,,,1,0,0,0,,
experiment_20260821_162746,p01766,B1,0,1,33045,6398,39443,,49.15223431587219,,0.0,0.0,49.21929621696472,,,,0,0,0,0,,
experiment_20260821_162746,p01766,B2,0,1,22056,552,22608,,6.339810848236084,,0.19582819938659668,13.174547672271729,19.760590076446533,,,,1,0,0,0,,
experiment_20260821_162746,p01766,F1,0,1,27741,595,28336,,18.24229669570923,,0.16481971740722656,10.661227941513062,29.166213512420654,,,,1,0,0,0,,
experiment_20260821_162746,p01766,F2,0,5,1003448,6617,1010065,,255.62446284294128,,0.7041563987731934,43.820716381073,300.4322338104248,,,,3,0,2,8,,
experiment_20260821_162746,p01766,F3,0,1,27065,614,27679,,17.7032413482666,,0.21617364883422852,11.817473411560059,29.80188822746277,,,,1,0,0,0,,
experiment_20260821_162746,p01970,B1,0,1,26634,8993,35627,,22.97336173057556,,0.0,0.0,22.992657899856567,,,,0,0,0,0,,
