experiment_id,sample_id,raw_ir_path,clean_ir_path,brightened_intermediate_path,llvm_verify_attempted,llvm_verify_success,llvm_verify_error,raw_instruction_count,clean_instruction_count,instruction_reduction_percent,raw_basic_block_count,clean_basic_block_count,basic_block_reduction_percent,raw_conditional_branch_count,clean_conditional_branch_count,conditional_branch_reduction_percent
experiment_20260801_182616,p00867,/home/dungbv/clau/result/eval_20260801_182616/p00867/p00867.ll,/home/dungbv/clau/result/eval_20260801_182616/p00867/p00867_final.ll,/home/dungbv/clau/result/eval_20260801_182616/p00867/p00867_brightened.ll,True,True,,16443,5683,65.43818038070913,744,408,45.16129032258064,356,62,82.58426966292134
experiment_20260801_182616,p01296,/home/dungbv/clau/result/eval_20260801_182616/p01296/p01296.ll,/home/dungbv/clau/result/eval_20260801_182616/p01296/p01296_final.ll,/home/dungbv/clau/result/eval_20260801_182616/p01296/p01296_brightened.ll,True,True,,14249,2428,82.96020773387606,625,226,63.839999999999996,301,33,89.03654485049833
experiment_20260801_182616,p01315,/home/dungbv/clau/result/eval_20260801_182616/p01315/p01315.ll,/home/dungbv/clau/result/eval_20260801_182616/p01315/p01315_final.ll,/home/dungbv/clau/result/eval_20260801_182616/p01315/p01315_brightened.ll,True,True,,4160,642,84.5673076923077,165,27,83.63636363636363,77,16,79.22077922077922
experiment_20260801_182616,p01571,/home/dungbv/clau/result/eval_20260801_182616/p01571/p01571.ll,/home/dungbv/clau/result/eval_20260801_182616/p01571/p01571_final.ll,/home/dungbv/clau/result/eval_20260801_182616/p01571/p01571_brightened.ll,True,True,,13195,3491,73.5430087154225,572,256,55.24475524475524,273,26,90.47619047619048
experiment_20260801_182616,p01687,/home/dungbv/clau/result/eval_20260801_182616/p01687/p01687.ll,/home/dungbv/clau/result/eval_20260801_182616/p01687/p01687_final.ll,/home/dungbv/clau/result/eval_20260801_182616/p01687/p01687_brightened.ll,True,True,,2708,364,86.55834564254063,139,43,69.06474820143885,64,15,76.5625
experiment_20260801_182616,p01766,/home/dungbv/clau/result/eval_20260801_182616/p01766/p01766.ll,/home/dungbv/clau/result/eval_20260801_182616/p01766/p01766_final.ll,/home/dungbv/clau/result/eval_20260801_182616/p01766/p01766_brightened.ll,True,True,,2584,290,88.77708978328174,122,20,83.60655737704919,57,11,80.7017543859649
experiment_20260801_182616,p01970,/home/dungbv/clau/result/eval_20260801_182616/p01970/p01970.ll,/home/dungbv/clau/result/eval_20260801_182616/p01970/p01970_final.ll,/home/dungbv/clau/result/eval_20260801_182616/p01970/p01970_brightened.ll,True,True,,3585,363,89.8744769874477,176,66,62.5,82,4,95.1219512195122
experiment_20260801_182616,p02029,/home/dungbv/clau/result/eval_20260801_182616/p02029/p02029.ll,/home/dungbv/clau/result/eval_20260801_182616/p02029/p02029_final.ll,/home/dungbv/clau/result/eval_20260801_182616/p02029/p02029_brightened.ll,True,True,,5775,1485,74.28571428571429,269,129,52.04460966542751,126,12,90.47619047619048
experiment_20260801_182616,p02100,/home/dungbv/clau/result/eval_20260801_182616/p02100/p02100.ll,/home/dungbv/clau/result/eval_20260801_182616/p02100/p02100_final.ll,/home/dungbv/clau/result/eval_20260801_182616/p02100/p02100_brightened.ll,True,True,,2215,325,85.32731376975168,124,39,68.54838709677419,56,10,82.14285714285714
experiment_20260801_182616,p02289,/home/dungbv/clau/result/eval_20260801_182616/p02289/p02289.ll,/home/dungbv/clau/result/eval_20260801_182616/p02289/p02289_final.ll,/home/dungbv/clau/result/eval_20260801_182616/p02289/p02289_brightened.ll,True,True,,8947,1816,79.70269364032636,432,211,51.157407407407405,205,13,93.65853658536587
experiment_20260801_182616,p02474,/home/dungbv/clau/result/eval_20260801_182616/p02474/p02474.ll,/home/dungbv/clau/result/eval_20260801_182616/p02474/p02474_final.ll,/home/dungbv/clau/result/eval_20260801_182616/p02474/p02474_brightened.ll,True,True,,3373,141,95.81974503409428,166,20,87.95180722891565,79,12,84.81012658227847
experiment_20260801_182616,p02477,/home/dungbv/clau/result/eval_20260801_182616/p02477/p02477.ll,/home/dungbv/clau/result/eval_20260801_182616/p02477/p02477_final.ll,/home/dungbv/clau/result/eval_20260801_182616/p02477/p02477_brightened.ll,True,True,,20673,1466,92.90862477627823,1120,124,88.92857142857142,548,11,97.99270072992701
