sample_id,stage,instructions,blocks,branches,treatment
h00014,pointer_opt,1314,48,6,F3-O2
h00014,standard_opt,1127,48,6,F3-O2
h00014,storage_delift,1127,48,6,F3-O2
h00014,residual_strip,1127,48,6,F3-O2
h00014,final_clean,1118,47,6,F3-O2
h00015,raw_lift,1242,121,43,F3-O2
h00015,brightened_010_095,249,30,3,F3-O2
h00015,verified_input,249,30,3,F3-O2
h00015,pointer_opt,249,30,3,F3-O2
h00015,standard_opt,240,30,3,F3-O2
h00015,storage_delift,240,30,3,F3-O2
h00015,residual_strip,240,30,3,F3-O2
h00015,final_clean,239,29,3,F3-O2
h00016,raw_lift,1276,123,44,F3-O2
h00016,brightened_010_095,268,32,1,F3-O2
h00016,verified_input,268,32,1,F3-O2
h00016,pointer_opt,268,32,1,F3-O2
h00016,standard_opt,267,32,1,F3-O2
h00016,storage_delift,267,32,1,F3-O2
h00016,residual_strip,267,32,1,F3-O2
h00016,final_clean,266,31,1,F3-O2
h00017,raw_lift,1543,120,42,F3-O2
h00017,brightened_010_095,1056,42,4,F3-O2
h00017,verified_input,1056,42,4,F3-O2
h00017,pointer_opt,1050,42,4,F3-O2
h00017,standard_opt,874,42,4,F3-O2
h00017,storage_delift,874,42,4,F3-O2
h00017,residual_strip,874,42,4,F3-O2
h00017,final_clean,865,42,4,F3-O2
h00018,raw_lift,1539,156,60,F3-O2
h00018,brightened_010_095,1145,63,4,F3-O2
h00018,verified_input,1145,63,4,F3-O2
h00018,pointer_opt,1117,63,4,F3-O2
h00018,standard_opt,955,63,4,F3-O2
h00018,storage_delift,955,63,4,F3-O2
h00018,residual_strip,955,63,4,F3-O2
h00018,final_clean,901,63,4,F3-O2
h00019,raw_lift,1355,137,51,F3-O2
h00019,brightened_010_095,314,39,1,F3-O2
h00019,verified_input,314,39,1,F3-O2
h00019,pointer_opt,314,39,1,F3-O2
h00019,standard_opt,313,39,1,F3-O2
h00019,storage_delift,313,39,1,F3-O2
h00019,residual_strip,313,39,1,F3-O2
h00019,final_clean,312,38,1,F3-O2
h00020,raw_lift,1505,125,44,F3-O2
h00020,brightened_010_095,1104,47,8,F3-O2
h00020,verified_input,1104,47,8,F3-O2
h00020,pointer_opt,1102,47,8,F3-O2
h00020,standard_opt,898,47,8,F3-O2
h00020,storage_delift,898,47,8,F3-O2
h00020,residual_strip,898,47,8,F3-O2
h00020,final_clean,885,47,8,F3-O2
h00021,raw_lift,1529,114,39,F3-O2
h00021,brightened_010_095,873,44,8,F3-O2
h00021,verified_input,873,44,8,F3-O2
h00021,pointer_opt,859,44,8,F3-O2
h00021,standard_opt,732,44,8,F3-O2
h00021,storage_delift,732,44,8,F3-O2
h00021,residual_strip,732,44,8,F3-O2
h00021,final_clean,728,44,8,F3-O2
h00022,raw_lift,693,63,13,F3-O2
h00022,brightened_010_095,463,10,1,F3-O2
h00022,verified_input,463,10,1,F3-O2
h00022,pointer_opt,463,10,1,F3-O2
h00022,standard_opt,211,10,1,F3-O2
h00022,storage_delift,211,10,1,F3-O2
h00022,residual_strip,211,10,1,F3-O2
h00022,final_clean,208,9,1,F3-O2
h00023,raw_lift,1402,133,49,F3-O2
h00023,brightened_010_095,315,35,2,F3-O2
h00023,verified_input,315,35,2,F3-O2
h00023,pointer_opt,315,35,2,F3-O2
h00023,standard_opt,306,35,2,F3-O2
h00023,storage_delift,306,35,2,F3-O2
h00023,residual_strip,306,35,2,F3-O2
h00023,final_clean,305,34,2,F3-O2
h00024,raw_lift,1107,94,29,F3-O2
h00024,brightened_010_095,679,30,2,F3-O2
h00024,verified_input,679,30,2,F3-O2
h00024,pointer_opt,666,30,2,F3-O2
h00024,standard_opt,583,30,2,F3-O2
h00024,storage_delift,583,30,2,F3-O2
h00024,residual_strip,583,30,2,F3-O2
h00024,final_clean,583,30,2,F3-O2
h00025,raw_lift,1281,124,43,F3-O2
h00025,brightened_010_095,983,44,5,F3-O2
h00025,verified_input,983,44,5,F3-O2
h00025,pointer_opt,974,44,5,F3-O2
h00025,standard_opt,781,44,5,F3-O2
h00025,storage_delift,781,44,5,F3-O2
h00025,residual_strip,781,44,5,F3-O2
h00025,final_clean,754,44,5,F3-O2
h00026,raw_lift,1718,188,76,F3-O2
h00026,brightened_010_095,1250,81,6,F3-O2
h00026,verified_input,1250,81,6,F3-O2
h00026,pointer_opt,1217,81,6,F3-O2
h00026,standard_opt,963,68,5,F3-O2
h00026,storage_delift,963,68,5,F3-O2
h00026,residual_strip,963,68,5,F3-O2
h00026,final_clean,897,67,5,F3-O2
h00027,raw_lift,1746,190,77,F3-O2
h00027,brightened_010_095,1318,82,6,F3-O2
h00027,verified_input,1318,82,6,F3-O2
h00027,pointer_opt,1280,82,6,F3-O2
h00027,standard_opt,1126,82,6,F3-O2
h00027,storage_delift,1126,82,6,F3-O2
h00027,residual_strip,1126,82,6,F3-O2
h00027,final_clean,1117,82,6,F3-O2
h00028,raw_lift,1802,175,70,F3-O2
h00028,brightened_010_095,509,59,2,F3-O2
h00028,verified_input,509,59,2,F3-O2
h00028,pointer_opt,509,59,2,F3-O2
h00028,standard_opt,508,59,2,F3-O2
h00028,storage_delift,508,59,2,F3-O2
h00028,residual_strip,508,59,2,F3-O2
h00028,final_clean,507,58,2,F3-O2
h00029,raw_lift,2035,188,75,F3-O2
h00029,brightened_010_095,2000,90,17,F3-O2
h00029,verified_input,2000,90,17,F3-O2
h00029,pointer_opt,1995,90,17,F3-O2
h00029,standard_opt,1737,90,17,F3-O2
h00029,storage_delift,1737,90,17,F3-O2
h00029,residual_strip,1737,90,17,F3-O2
h00029,final_clean,1724,90,17,F3-O2
h00030,raw_lift,2132,243,104,F3-O2
h00030,brightened_010_095,638,93,2,F3-O2
h00030,verified_input,638,93,2,F3-O2
h00030,pointer_opt,638,93,2,F3-O2
h00030,standard_opt,637,93,2,F3-O2
h00030,storage_delift,637,93,2,F3-O2
h00030,residual_strip,637,93,2,F3-O2
h00030,final_clean,636,92,2,F3-O2
h00031,raw_lift,1769,168,66,F3-O2
h00031,brightened_010_095,1355,73,10,F3-O2
h00031,verified_input,1355,73,10,F3-O2
h00031,pointer_opt,1336,73,10,F3-O2
h00031,standard_opt,1183,73,10,F3-O2
h00031,storage_delift,1183,73,10,F3-O2
h00031,residual_strip,1183,73,10,F3-O2
h00031,final_clean,1170,73,10,F3-O2
h00032,raw_lift,1389,167,66,F3-O2
h00032,brightened_010_095,970,70,5,F3-O2
h00032,verified_input,970,70,5,F3-O2
h00032,pointer_opt,929,70,5,F3-O2
h00032,standard_opt,808,70,5,F3-O2
h00032,storage_delift,808,70,5,F3-O2
h00032,residual_strip,808,70,5,F3-O2
h00032,final_clean,776,70,5,F3-O2
h00033,raw_lift,1750,152,58,F3-O2
h00033,brightened_010_095,1462,62,6,F3-O2
h00033,verified_input,1462,62,6,F3-O2
h00033,pointer_opt,1455,62,6,F3-O2
h00033,standard_opt,1174,62,6,F3-O2
h00033,storage_delift,1174,62,6,F3-O2
h00033,residual_strip,1174,62,6,F3-O2
h00033,final_clean,1157,62,6,F3-O2
h00034,raw_lift,1816,175,67,F3-O2
h00034,brightened_010_095,1590,71,5,F3-O2
h00034,verified_input,1590,71,5,F3-O2
h00034,pointer_opt,1584,71,5,F3-O2
h00034,standard_opt,1379,71,5,F3-O2
h00034,storage_delift,1379,71,5,F3-O2
h00034,residual_strip,1379,71,5,F3-O2
h00034,final_clean,1336,71,5,F3-O2
h00035,raw_lift,1621,142,51,F3-O2
h00035,brightened_010_095,1220,53,5,F3-O2
h00035,verified_input,1220,53,5,F3-O2
h00035,pointer_opt,1204,53,5,F3-O2
h00035,standard_opt,997,53,5,F3-O2
h00035,storage_delift,997,53,5,F3-O2
h00035,residual_strip,997,53,5,F3-O2
h00035,final_clean,989,53,5,F3-O2
h00036,raw_lift,1004,87,26,F3-O2
h00036,brightened_010_095,122,16,1,F3-O2
h00036,verified_input,122,16,1,F3-O2
h00036,pointer_opt,122,16,1,F3-O2
h00036,standard_opt,121,16,1,F3-O2
h00036,storage_delift,121,16,1,F3-O2
h00036,residual_strip,121,16,1,F3-O2
h00036,final_clean,120,15,1,F3-O2
h00037,raw_lift,1129,108,33,F3-O2
h00037,brightened_010_095,737,38,4,F3-O2
h00037,verified_input,737,38,4,F3-O2
h00037,pointer_opt,731,38,4,F3-O2
h00037,standard_opt,622,38,4,F3-O2
h00037,storage_delift,622,38,4,F3-O2
h00037,residual_strip,622,38,4,F3-O2
h00037,final_clean,619,38,4,F3-O2
h00038,raw_lift,2086,177,69,F3-O2
h00038,brightened_010_095,1230,55,6,F3-O2
h00038,verified_input,1230,55,6,F3-O2
h00038,pointer_opt,1217,55,6,F3-O2
h00038,standard_opt,1043,55,6,F3-O2
h00038,storage_delift,1043,55,6,F3-O2
h00038,residual_strip,1043,55,6,F3-O2
h00038,final_clean,0,0,0,F3-O2
h00039,raw_lift,1236,103,34,F3-O2
h00039,brightened_010_095,175,22,1,F3-O2
h00039,verified_input,175,22,1,F3-O2
h00039,pointer_opt,175,22,1,F3-O2
h00039,standard_opt,174,22,1,F3-O2
h00039,storage_delift,174,22,1,F3-O2
h00039,residual_strip,174,22,1,F3-O2
h00039,final_clean,173,21,1,F3-O2
h00040,raw_lift,1783,168,64,F3-O2
h00040,brightened_010_095,1961,72,6,F3-O2
h00040,verified_input,1961,72,6,F3-O2
h00040,pointer_opt,1961,72,6,F3-O2
h00040,standard_opt,1699,72,6,F3-O2
h00040,storage_delift,1699,72,6,F3-O2
h00040,residual_strip,1699,72,6,F3-O2
h00040,final_clean,1664,72,6,F3-O2
