sample_id,category,treatment,status,failure_reason,llm_calls,input_tokens,output_tokens,total_runtime_seconds,compile_success_first,compile_success_final,iteration1_outcome,compiler_attempts,compile_repair_rounds,behavioral_repair_rounds,behavior_before_repair,behavior_after_repair,fuzz_total,fuzz_matches,fuzz_trajectory_matches_mismatches_inconclusive,max_tokens_responses,instructions_raw,instructions_clean,instruction_reduction,basic_blocks_raw,basic_blocks_clean,bb_reduction,conditional_branches_raw,conditional_branches_clean,branches_reduction,prepared_binary_status,native_contract_status,native_output_class,native_contract_violations
h00004,parsing_state_machine,F3-O2,PASS,PASS,3,227019,3772,116.46092414855957,True,True,FUZZ_864/136/0,3,0,2,"matches=864, mismatches=136","matches=1000, mismatches=0",1000,1000,i1:864/136/0;i2:755/245/0;i3:1000/0/0,0,1478,972,0.3423545331529093,117,40,0.6581196581196581,37,4,0.8918918918918919,PASS,non_compliant,compat_runnable,16
h00004,parsing_state_machine,F3-O3,PASS,PASS,2,117027,947,39.70654821395874,True,True,FUZZ_942/58/0,2,0,1,"matches=942, mismatches=58","matches=1000, mismatches=0",1000,1000,i1:942/58/0;i2:1000/0/0,0,1478,972,0.3423545331529093,117,40,0.6581196581196581,37,4,0.8918918918918919,PASS,non_compliant,compat_runnable,16
h00005,strings_encodings,B0,INCONCLUSIVE,RecoveryError: LLM response still contains unsupported decompiler artifact: decompiler undefined-width type.,1,16019,2835,20.434214715001872,False,False,NO_COMPLETED_VALIDATION,0,0,0,,,0,0,,0,0,0,0.0,0,0,0.0,0,0,0.0,,,,
h00005,strings_encodings,B1,PASS,PASS,2,32881,2551,27.356341123580933,False,True,REJECT_UNDEFINED_WIDTH,1,0,0,"matches=1000, mismatches=0","matches=1000, mismatches=0",1000,1000,i2:1000/0/0,0,0,0,0.0,0,0,0.0,0,0,0.0,,,,
h00005,strings_encodings,B2,FAIL_BEHAVIORAL,FAIL_BEHAVIORAL,1,10342,285,6.742578744888306,True,True,FUZZ_0/1000/0,1,0,0,"matches=0, mismatches=1000","matches=0, mismatches=1000",1000,0,i1:0/1000/0,0,0,0,0.0,0,0,0.0,0,0,0.0,,,,
h00005,strings_encodings,B3,PASS,PASS,2,29145,551,17.36138129234314,True,True,FUZZ_0/1000/0,2,0,1,"matches=0, mismatches=1000","matches=1000, mismatches=0",1000,1000,i1:0/1000/0;i2:1000/0/0,0,0,0,0.0,0,0,0.0,0,0,0.0,,,,
h00005,strings_encodings,F3-O1,PASS,PASS,1,48611,309,25.408267736434937,True,True,FUZZ_1000/0/0,1,0,0,"matches=1000, mismatches=0","matches=1000, mismatches=0",1000,1000,i1:1000/0/0,0,1082,633,0.41497227356746763,101,35,0.6534653465346535,32,4,0.875,FAIL,non_compliant,compat_runnable,11
h00005,strings_encodings,F3-O2,PASS,PASS,1,59142,260,43.35802245140076,True,True,FUZZ_1000/0/0,1,0,0,"matches=1000, mismatches=0","matches=1000, mismatches=0",1000,1000,i1:1000/0/0,0,1082,625,0.422365988909427,101,35,0.6534653465346535,32,4,0.875,FAIL,non_compliant,compat_runnable,11
h00005,strings_encodings,F3-O3,PASS,PASS,2,142643,2854,86.049325466156,True,True,FUZZ_1000/0/0,1,0,0,"matches=1000, mismatches=0","matches=1000, mismatches=0",1000,1000,i1:1000/0/0,1,1082,625,0.422365988909427,101,35,0.6534653465346535,32,4,0.875,FAIL,non_compliant,compat_runnable,11
h00006,structural_control_flow,B0,INCONCLUSIVE,RecoveryError: LLM response still contains unsupported decompiler artifact: import-thunk pointer.,1,18708,3980,23.15477022399864,False,False,NO_COMPLETED_VALIDATION,0,0,0,,,0,0,,0,0,0,0.0,0,0,0.0,0,0,0.0,,,,
h00006,structural_control_flow,B1,PASS,PASS,2,34863,1336,28.175889015197754,False,True,REJECT_IMPORT_THUNK,1,0,0,"matches=1000, mismatches=0","matches=1000, mismatches=0",1000,1000,i2:1000/0/0,0,0,0,0.0,0,0,0.0,0,0,0.0,,,,
h00006,structural_control_flow,B2,PASS,PASS,1,15420,351,8.363547801971436,True,True,FUZZ_1000/0/0,1,0,0,"matches=1000, mismatches=0","matches=1000, mismatches=0",1000,1000,i1:1000/0/0,0,0,0,0.0,0,0,0.0,0,0,0.0,,,,
h00006,structural_control_flow,B3,PASS,PASS,1,14190,377,7.260791301727295,True,True,FUZZ_1000/0/0,1,0,0,"matches=1000, mismatches=0","matches=1000, mismatches=0",1000,1000,i1:1000/0/0,0,0,0,0.0,0,0,0.0,0,0,0.0,,,,
h00006,structural_control_flow,F3-O1,PASS,PASS,2,158108,2968,87.5728189945221,True,True,FUZZ_1000/0/0,1,0,0,"matches=1000, mismatches=0","matches=1000, mismatches=0",1000,1000,i1:1000/0/0,1,1347,673,0.5003711952487008,131,49,0.6259541984732825,48,2,0.9583333333333334,FAIL,non_compliant,compat_runnable,12
h00006,structural_control_flow,F3-O2,PASS,PASS,1,47932,411,23.799348831176758,True,True,FUZZ_1000/0/0,1,0,0,"matches=1000, mismatches=0","matches=1000, mismatches=0",1000,1000,i1:1000/0/0,0,1347,663,0.5077951002227171,131,49,0.6259541984732825,48,2,0.9583333333333334,FAIL,non_compliant,compat_runnable,12
h00006,structural_control_flow,F3-O3,PASS,PASS,1,54011,435,29.615427255630493,True,True,FUZZ_1000/0/0,1,0,0,"matches=1000, mismatches=0","matches=1000, mismatches=0",1000,1000,i1:1000/0/0,0,1347,663,0.5077951002227171,131,49,0.6259541984732825,48,2,0.9583333333333334,FAIL,non_compliant,compat_runnable,12
h00007,strings_encodings,B0,PASS,PASS,1,17756,4386,20.85208528200019,True,True,FUZZ_1000/0/0,1,0,0,,,1000,1000,i1:1000/0/0,0,0,0,0.0,0,0,0.0,0,0,0.0,,,,
h00007,strings_encodings,B1,PASS,PASS,2,37925,4825,28.419347047805786,False,True,REJECT_UNDEFINED_WIDTH,1,0,0,"matches=1000, mismatches=0","matches=1000, mismatches=0",1000,1000,i2:1000/0/0,0,0,0,0.0,0,0,0.0,0,0,0.0,,,,
h00007,strings_encodings,B2,PASS,PASS,1,15615,347,8.50894546508789,True,True,FUZZ_1000/0/0,1,0,0,"matches=1000, mismatches=0","matches=1000, mismatches=0",1000,1000,i1:1000/0/0,0,0,0,0.0,0,0,0.0,0,0,0.0,,,,
h00007,strings_encodings,B3,PASS,PASS,2,37395,612,17.298974990844727,True,True,FUZZ_673/327/0,2,0,1,"matches=673, mismatches=327","matches=1000, mismatches=0",1000,1000,i1:673/327/0;i2:1000/0/0,0,0,0,0.0,0,0,0.0,0,0,0.0,,,,
h00007,strings_encodings,F3-O1,PASS,PASS,1,63546,340,29.872057914733887,True,True,FUZZ_1000/0/0,1,0,0,"matches=1000, mismatches=0","matches=1000, mismatches=0",1000,1000,i1:1000/0/0,0,1633,939,0.42498469075321493,151,48,0.6821192052980133,57,9,0.8421052631578947,FAIL,non_compliant,compat_runnable,15
h00007,strings_encodings,F3-O2,PASS,PASS,1,68385,385,44.52584910392761,True,True,FUZZ_1000/0/0,1,0,0,"matches=1000, mismatches=0","matches=1000, mismatches=0",1000,1000,i1:1000/0/0,0,1633,879,0.46172688303735454,151,45,0.7019867549668874,57,9,0.8421052631578947,FAIL,non_compliant,compat_runnable,15
h00007,strings_encodings,F3-O3,PASS,PASS,1,64020,405,34.72065186500549,True,True,FUZZ_1000/0/0,1,0,0,"matches=1000, mismatches=0","matches=1000, mismatches=0",1000,1000,i1:1000/0/0,0,1633,879,0.46172688303735454,151,45,0.7019867549668874,57,9,0.8421052631578947,FAIL,non_compliant,compat_runnable,15
h00008,strings_encodings,B0,INCONCLUSIVE,RecoveryError: LLM response still contains unsupported decompiler artifact: decompiler undefined-width type.,1,16659,3266,22.503397946995392,False,False,NO_COMPLETED_VALIDATION,0,0,0,,,0,0,,0,0,0,0.0,0,0,0.0,0,0,0.0,,,,
h00008,strings_encodings,B1,PASS,PASS,2,39242,3932,36.10907006263733,False,True,REJECT_MISSING_MAIN,1,0,0,"matches=1000, mismatches=0","matches=1000, mismatches=0",1000,1000,i2:1000/0/0,0,0,0,0.0,0,0,0.0,0,0,0.0,,,,
h00008,strings_encodings,B2,FAIL_COMPILE,FAIL_COMPILE,1,70520,2546,43.5225784778595,False,False,REJECT_MISSING_MAIN,0,0,0,,,0,0,,0,0,0,0.0,0,0,0.0,0,0,0.0,,,,
h00008,strings_encodings,B3,PASS,PASS,2,35811,884,23.43560791015625,True,True,FUZZ_0/1000/0,2,0,1,"matches=0, mismatches=1000","matches=1000, mismatches=0",1000,1000,i1:0/1000/0;i2:1000/0/0,0,0,0,0.0,0,0,0.0,0,0,0.0,,,,
h00008,strings_encodings,F3-O1,PASS,PASS,1,57492,336,30.910526990890503,True,True,FUZZ_1000/0/0,1,0,0,"matches=1000, mismatches=0","matches=1000, mismatches=0",1000,1000,i1:1000/0/0,0,1244,816,0.3440514469453376,114,44,0.6140350877192983,39,6,0.8461538461538461,FAIL,non_compliant,compat_runnable,11
h00008,strings_encodings,F3-O2,PASS,PASS,2,159261,952,75.68808698654175,True,True,FUZZ_0/1000/0,2,0,1,"matches=0, mismatches=1000","matches=1000, mismatches=0",1000,1000,i1:0/1000/0;i2:1000/0/0,0,1244,807,0.3512861736334405,114,44,0.6140350877192983,39,6,0.8461538461538461,FAIL,non_compliant,compat_runnable,11
h00008,strings_encodings,F3-O3,PASS,PASS,4,331863,5911,178.760924577713,True,True,FUZZ_302/698/0,2,0,1,"matches=302, mismatches=698","matches=1000, mismatches=0",1000,1000,i1:302/698/0;i3:1000/0/0,1,1244,807,0.3512861736334405,114,44,0.6140350877192983,39,6,0.8461538461538461,FAIL,non_compliant,compat_runnable,11
h00009,parsing_state_machine,B0,PASS,PASS,1,16753,3734,22.887143282998295,True,True,FUZZ_1000/0/0,1,0,0,,,1000,1000,i1:1000/0/0,0,0,0,0.0,0,0,0.0,0,0,0.0,,,,
h00009,parsing_state_machine,B1,PASS,PASS,2,38214,4869,34.63723921775818,False,True,REJECT_UNDEFINED_WIDTH,1,0,0,"matches=1000, mismatches=0","matches=1000, mismatches=0",1000,1000,i2:1000/0/0,0,0,0,0.0,0,0,0.0,0,0,0.0,,,,
h00009,parsing_state_machine,B2,PASS,PASS,1,15938,366,8.246098279953003,True,True,FUZZ_1000/0/0,1,0,0,"matches=1000, mismatches=0","matches=1000, mismatches=0",1000,1000,i1:1000/0/0,0,0,0,0.0,0,0,0.0,0,0,0.0,,,,
h00009,parsing_state_machine,B3,PASS,PASS,2,49535,577,31.850513696670532,True,True,FUZZ_0/1000/0,2,0,1,"matches=0, mismatches=1000","matches=1000, mismatches=0",1000,1000,i1:0/1000/0;i2:1000/0/0,0,0,0,0.0,0,0,0.0,0,0,0.0,,,,
h00009,parsing_state_machine,F3-O1,PASS,PASS,1,24842,318,15.195675373077393,True,True,FUZZ_1000/0/0,1,0,0,"matches=1000, mismatches=0","matches=1000, mismatches=0",1000,1000,i1:1000/0/0,0,1361,279,0.7950036737692873,151,45,0.7019867549668874,58,1,0.9827586206896551,PASS,non_compliant,compat_runnable,1
