dataset,level,sample_id,boundary,production_replay_valid,opcode,before,after,delta
own_v1,O1,h00002,main_default_opt_1,True,store,504,448,-56
own_v1,O1,h00002,main_default_opt_1,True,switch,1,1,0
own_v1,O1,h00002,main_default_opt_1,True,trunc,16,14,-2
own_v1,O1,h00002,main_default_opt_1,True,unreachable,1,1,0
own_v1,O1,h00002,main_default_opt_1,True,xor,24,20,-4
own_v1,O1,h00002,main_default_opt_1,True,zext,23,20,-3
own_v1,O1,h00002,main_default_opt_2,True,add,43,41,-2
own_v1,O1,h00002,main_default_opt_2,True,alloca,4,4,0
own_v1,O1,h00002,main_default_opt_2,True,and,10,6,-4
own_v1,O1,h00002,main_default_opt_2,True,br,27,22,-5
own_v1,O1,h00002,main_default_opt_2,True,call,10,9,-1
own_v1,O1,h00002,main_default_opt_2,True,getelementptr,25,22,-3
own_v1,O1,h00002,main_default_opt_2,True,icmp,20,12,-8
own_v1,O1,h00002,main_default_opt_2,True,inttoptr,39,32,-7
own_v1,O1,h00002,main_default_opt_2,True,load,20,22,2
own_v1,O1,h00002,main_default_opt_2,True,mul,5,5,0
own_v1,O1,h00002,main_default_opt_2,True,or,1,1,0
own_v1,O1,h00002,main_default_opt_2,True,phi,4,3,-1
own_v1,O1,h00002,main_default_opt_2,True,ptrtoint,5,3,-2
own_v1,O1,h00002,main_default_opt_2,True,ret,2,2,0
own_v1,O1,h00002,main_default_opt_2,True,sdiv,1,1,0
own_v1,O1,h00002,main_default_opt_2,True,select,12,10,-2
own_v1,O1,h00002,main_default_opt_2,True,sext,4,4,0
own_v1,O1,h00002,main_default_opt_2,True,shl,5,5,0
own_v1,O1,h00002,main_default_opt_2,True,store,59,37,-22
own_v1,O1,h00002,main_default_opt_2,True,sub,4,0,-4
own_v1,O1,h00002,main_default_opt_2,True,switch,1,1,0
own_v1,O1,h00002,main_default_opt_2,True,unreachable,1,1,0
own_v1,O1,h00002,main_default_opt_2,True,xor,6,6,0
own_v1,O1,h00002,main_default_opt_2,True,zext,4,4,0
own_v1,O1,h00002,bundle_default_opt_3,True,add,10,10,0
own_v1,O1,h00002,bundle_default_opt_3,True,alloca,4,4,0
own_v1,O1,h00002,bundle_default_opt_3,True,and,6,6,0
own_v1,O1,h00002,bundle_default_opt_3,True,br,22,22,0
own_v1,O1,h00002,bundle_default_opt_3,True,call,9,9,0
own_v1,O1,h00002,bundle_default_opt_3,True,getelementptr,53,30,-23
own_v1,O1,h00002,bundle_default_opt_3,True,icmp,12,12,0
own_v1,O1,h00002,bundle_default_opt_3,True,inttoptr,1,1,0
own_v1,O1,h00002,bundle_default_opt_3,True,load,22,22,0
own_v1,O1,h00002,bundle_default_opt_3,True,mul,5,5,0
own_v1,O1,h00002,bundle_default_opt_3,True,or,1,1,0
own_v1,O1,h00002,bundle_default_opt_3,True,phi,3,3,0
own_v1,O1,h00002,bundle_default_opt_3,True,ptrtoint,3,3,0
own_v1,O1,h00002,bundle_default_opt_3,True,ret,2,2,0
own_v1,O1,h00002,bundle_default_opt_3,True,sdiv,1,1,0
own_v1,O1,h00002,bundle_default_opt_3,True,select,10,10,0
own_v1,O1,h00002,bundle_default_opt_3,True,sext,4,4,0
own_v1,O1,h00002,bundle_default_opt_3,True,shl,5,5,0
own_v1,O1,h00002,bundle_default_opt_3,True,store,37,37,0
own_v1,O1,h00002,bundle_default_opt_3,True,switch,1,1,0
own_v1,O1,h00002,bundle_default_opt_3,True,unreachable,1,1,0
own_v1,O1,h00002,bundle_default_opt_3,True,xor,6,6,0
own_v1,O1,h00002,bundle_default_opt_3,True,zext,4,4,0
own_v1,O1,h00002,bundle_default_opt_4,True,add,10,10,0
own_v1,O1,h00002,bundle_default_opt_4,True,alloca,4,4,0
own_v1,O1,h00002,bundle_default_opt_4,True,and,6,6,0
own_v1,O1,h00002,bundle_default_opt_4,True,br,22,22,0
own_v1,O1,h00002,bundle_default_opt_4,True,call,9,9,0
own_v1,O1,h00002,bundle_default_opt_4,True,getelementptr,30,30,0
own_v1,O1,h00002,bundle_default_opt_4,True,icmp,12,12,0
own_v1,O1,h00002,bundle_default_opt_4,True,inttoptr,1,1,0
own_v1,O1,h00002,bundle_default_opt_4,True,load,22,22,0
own_v1,O1,h00002,bundle_default_opt_4,True,mul,5,5,0
own_v1,O1,h00002,bundle_default_opt_4,True,or,1,1,0
own_v1,O1,h00002,bundle_default_opt_4,True,phi,3,3,0
own_v1,O1,h00002,bundle_default_opt_4,True,ptrtoint,3,3,0
own_v1,O1,h00002,bundle_default_opt_4,True,ret,2,2,0
own_v1,O1,h00002,bundle_default_opt_4,True,sdiv,1,1,0
own_v1,O1,h00002,bundle_default_opt_4,True,select,10,10,0
own_v1,O1,h00002,bundle_default_opt_4,True,sext,4,4,0
own_v1,O1,h00002,bundle_default_opt_4,True,shl,5,5,0
own_v1,O1,h00002,bundle_default_opt_4,True,store,37,37,0
own_v1,O1,h00002,bundle_default_opt_4,True,switch,1,1,0
own_v1,O1,h00002,bundle_default_opt_4,True,unreachable,1,1,0
own_v1,O1,h00002,bundle_default_opt_4,True,xor,6,6,0
own_v1,O1,h00002,bundle_default_opt_4,True,zext,4,4,0
own_v1,O1,h00002,bundle_post_opt_4_custom_cleanup,True,add,10,10,0
own_v1,O1,h00002,bundle_post_opt_4_custom_cleanup,True,alloca,4,4,0
own_v1,O1,h00002,bundle_post_opt_4_custom_cleanup,True,and,6,6,0
own_v1,O1,h00002,bundle_post_opt_4_custom_cleanup,True,br,22,22,0
own_v1,O1,h00002,bundle_post_opt_4_custom_cleanup,True,call,9,9,0
own_v1,O1,h00002,bundle_post_opt_4_custom_cleanup,True,getelementptr,30,30,0
own_v1,O1,h00002,bundle_post_opt_4_custom_cleanup,True,icmp,12,12,0
own_v1,O1,h00002,bundle_post_opt_4_custom_cleanup,True,inttoptr,1,1,0
own_v1,O1,h00002,bundle_post_opt_4_custom_cleanup,True,load,22,21,-1
own_v1,O1,h00002,bundle_post_opt_4_custom_cleanup,True,mul,5,5,0
own_v1,O1,h00002,bundle_post_opt_4_custom_cleanup,True,or,1,1,0
own_v1,O1,h00002,bundle_post_opt_4_custom_cleanup,True,phi,3,4,1
own_v1,O1,h00002,bundle_post_opt_4_custom_cleanup,True,ptrtoint,3,3,0
own_v1,O1,h00002,bundle_post_opt_4_custom_cleanup,True,ret,2,1,-1
own_v1,O1,h00002,bundle_post_opt_4_custom_cleanup,True,sdiv,1,1,0
own_v1,O1,h00002,bundle_post_opt_4_custom_cleanup,True,select,10,10,0
own_v1,O1,h00002,bundle_post_opt_4_custom_cleanup,True,sext,4,4,0
own_v1,O1,h00002,bundle_post_opt_4_custom_cleanup,True,shl,5,5,0
own_v1,O1,h00002,bundle_post_opt_4_custom_cleanup,True,store,37,37,0
own_v1,O1,h00002,bundle_post_opt_4_custom_cleanup,True,switch,1,1,0
own_v1,O1,h00002,bundle_post_opt_4_custom_cleanup,True,unreachable,1,1,0
own_v1,O1,h00002,bundle_post_opt_4_custom_cleanup,True,xor,6,6,0
own_v1,O1,h00002,bundle_post_opt_4_custom_cleanup,True,zext,4,4,0
own_v1,O1,h00003,main_default_opt_1,True,add,27,21,-6
own_v1,O1,h00003,main_default_opt_1,True,alloca,9,7,-2
own_v1,O1,h00003,main_default_opt_1,True,and,18,15,-3
own_v1,O1,h00003,main_default_opt_1,True,ashr,1,1,0
own_v1,O1,h00003,main_default_opt_1,True,br,32,30,-2
own_v1,O1,h00003,main_default_opt_1,True,call,32,21,-11
own_v1,O1,h00003,main_default_opt_1,True,getelementptr,113,95,-18
own_v1,O1,h00003,main_default_opt_1,True,icmp,23,22,-1
own_v1,O1,h00003,main_default_opt_1,True,inttoptr,11,9,-2
own_v1,O1,h00003,main_default_opt_1,True,load,118,100,-18
own_v1,O1,h00003,main_default_opt_1,True,lshr,9,8,-1
own_v1,O1,h00003,main_default_opt_1,True,mul,3,1,-2
own_v1,O1,h00003,main_default_opt_1,True,phi,19,22,3
own_v1,O1,h00003,main_default_opt_1,True,ptrtoint,4,4,0
own_v1,O1,h00003,main_default_opt_1,True,ret,11,2,-9
own_v1,O1,h00003,main_default_opt_1,True,select,11,11,0
own_v1,O1,h00003,main_default_opt_1,True,sext,1,1,0
own_v1,O1,h00003,main_default_opt_1,True,shl,4,4,0
own_v1,O1,h00003,main_default_opt_1,True,store,658,600,-58
own_v1,O1,h00003,main_default_opt_1,True,sub,4,4,0
own_v1,O1,h00003,main_default_opt_1,True,switch,1,1,0
own_v1,O1,h00003,main_default_opt_1,True,trunc,15,12,-3
own_v1,O1,h00003,main_default_opt_1,True,xor,19,13,-6
own_v1,O1,h00003,main_default_opt_1,True,zext,22,18,-4
own_v1,O1,h00003,main_default_opt_2,True,add,13,10,-3
own_v1,O1,h00003,main_default_opt_2,True,alloca,2,2,0
own_v1,O1,h00003,main_default_opt_2,True,and,5,5,0
own_v1,O1,h00003,main_default_opt_2,True,ashr,1,1,0
own_v1,O1,h00003,main_default_opt_2,True,br,30,30,0
own_v1,O1,h00003,main_default_opt_2,True,call,7,5,-2
own_v1,O1,h00003,main_default_opt_2,True,getelementptr,50,48,-2
own_v1,O1,h00003,main_default_opt_2,True,icmp,13,13,0
own_v1,O1,h00003,main_default_opt_2,True,inttoptr,10,5,-5
own_v1,O1,h00003,main_default_opt_2,True,load,28,30,2
own_v1,O1,h00003,main_default_opt_2,True,mul,1,1,0
own_v1,O1,h00003,main_default_opt_2,True,phi,4,2,-2
own_v1,O1,h00003,main_default_opt_2,True,ptrtoint,1,1,0
