dataset,level,boundary,opcode,metric_n,total_before,total_after,total_delta,cases_changed
own_v1,O2,bundle_default_opt_3,sext,24,139,138,-1,1
own_v1,O2,bundle_default_opt_3,unreachable,4,5,5,0,0
own_v1,O2,bundle_default_opt_4,sdiv,5,9,9,0,0
own_v1,O2,bundle_default_opt_4,sext,24,138,138,0,0
own_v1,O2,bundle_default_opt_4,unreachable,4,5,5,0,0
own_v1,O2,bundle_post_opt_4_custom_cleanup,sdiv,5,9,5,-4,1
own_v1,O2,bundle_post_opt_4_custom_cleanup,sext,24,138,131,-7,1
own_v1,O2,bundle_post_opt_4_custom_cleanup,unreachable,4,5,4,-1,1
own_v1,O2,main_default_opt_1,ashr,6,12,12,0,0
own_v1,O2,main_default_opt_1,sub,17,44,44,0,0
own_v1,O2,main_default_opt_2,ashr,5,11,11,0,0
own_v1,O2,bundle_default_opt_3,ashr,5,11,11,0,0
own_v1,O2,bundle_default_opt_3,sub,17,45,45,0,0
own_v1,O2,bundle_default_opt_4,ashr,5,11,11,0,0
own_v1,O2,bundle_default_opt_4,sub,17,45,45,0,0
own_v1,O2,bundle_post_opt_4_custom_cleanup,ashr,5,11,6,-5,1
own_v1,O2,bundle_post_opt_4_custom_cleanup,sub,17,45,39,-6,1
own_v1,O2,main_default_opt_1,freeze,1,3,3,0,0
own_v1,O2,main_default_opt_1,urem,3,5,5,0,0
own_v1,O2,main_default_opt_2,freeze,1,3,3,0,0
own_v1,O2,main_default_opt_2,urem,3,5,5,0,0
own_v1,O2,bundle_default_opt_3,freeze,1,3,3,0,0
own_v1,O2,bundle_default_opt_3,urem,3,5,5,0,0
own_v1,O2,bundle_default_opt_4,freeze,1,3,3,0,0
own_v1,O2,bundle_default_opt_4,urem,3,5,5,0,0
own_v1,O2,bundle_post_opt_4_custom_cleanup,freeze,1,3,3,0,0
own_v1,O2,bundle_post_opt_4_custom_cleanup,urem,3,5,5,0,0
own_v1,O2,main_default_opt_1,srem,4,12,12,0,0
own_v1,O2,main_default_opt_2,srem,4,12,12,0,0
own_v1,O2,bundle_default_opt_3,srem,4,12,12,0,0
own_v1,O2,bundle_default_opt_4,srem,4,12,12,0,0
own_v1,O2,bundle_post_opt_4_custom_cleanup,srem,4,12,9,-3,1
own_v1,O2,main_default_opt_1,udiv,2,2,2,0,0
own_v1,O2,main_default_opt_2,udiv,2,2,2,0,0
own_v1,O2,bundle_default_opt_3,udiv,1,1,1,0,0
own_v1,O2,bundle_default_opt_4,udiv,1,1,1,0,0
own_v1,O2,bundle_post_opt_4_custom_cleanup,udiv,1,1,1,0,0
own_v1,O3,main_default_opt_1,add,40,2142,2001,-141,22
own_v1,O3,main_default_opt_1,alloca,40,240,152,-88,40
own_v1,O3,main_default_opt_1,and,40,968,928,-40,20
own_v1,O3,main_default_opt_1,br,40,1471,1458,-13,40
own_v1,O3,main_default_opt_1,call,40,1114,738,-376,40
own_v1,O3,main_default_opt_1,getelementptr,40,3586,2674,-912,40
own_v1,O3,main_default_opt_1,icmp,40,1268,1248,-20,17
own_v1,O3,main_default_opt_1,inttoptr,40,1009,942,-67,23
own_v1,O3,main_default_opt_1,load,40,4702,4140,-562,40
own_v1,O3,main_default_opt_1,lshr,40,502,484,-18,17
own_v1,O3,main_default_opt_1,mul,34,144,136,-8,8
own_v1,O3,main_default_opt_1,or,16,29,25,-4,2
own_v1,O3,main_default_opt_1,phi,40,1049,1374,325,40
own_v1,O3,main_default_opt_1,ptrtoint,40,179,145,-34,24
own_v1,O3,main_default_opt_1,ret,40,457,233,-224,40
own_v1,O3,main_default_opt_1,select,40,670,670,0,0
own_v1,O3,main_default_opt_1,sext,30,172,172,0,2
own_v1,O3,main_default_opt_1,shl,40,364,359,-5,3
own_v1,O3,main_default_opt_1,store,40,26631,24749,-1882,40
own_v1,O3,main_default_opt_1,switch,40,77,75,-2,1
own_v1,O3,main_default_opt_1,trunc,40,767,630,-137,40
own_v1,O3,main_default_opt_1,xor,40,1036,974,-62,24
own_v1,O3,main_default_opt_1,zext,40,1248,1139,-109,40
own_v1,O3,main_default_opt_2,add,40,1766,1749,-17,22
own_v1,O3,main_default_opt_2,alloca,40,110,110,0,0
own_v1,O3,main_default_opt_2,and,40,915,762,-153,26
own_v1,O3,main_default_opt_2,br,40,1458,1430,-28,8
own_v1,O3,main_default_opt_2,call,40,590,538,-52,22
own_v1,O3,main_default_opt_2,getelementptr,40,2409,2018,-391,36
