dataset,level,sample_id,boundary,before_path,after_path,production_replay_valid,functions_before,functions_after,functions_delta,blocks_before,blocks_after,blocks_delta,instructions_before,instructions_after,instructions_delta,conditional_branches_before,conditional_branches_after,conditional_branches_delta,calls_before,calls_after,calls_delta,direct_calls_before,direct_calls_after,direct_calls_delta,indirect_calls_before,indirect_calls_after,indirect_calls_delta,intrinsics_before,intrinsics_after,intrinsics_delta,allocas_before,allocas_after,allocas_delta,loads_before,loads_after,loads_delta,stores_before,stores_after,stores_delta,geps_before,geps_after,geps_delta,phis_before,phis_after,phis_delta,selects_before,selects_after,selects_delta,switches_before,switches_after,switches_delta,unreachable_before,unreachable_after,unreachable_delta,memory_ops_before,memory_ops_after,memory_ops_delta,scalar_cleanup_ops_before,scalar_cleanup_ops_after,scalar_cleanup_ops_delta,vector_instructions_before,vector_instructions_after,vector_instructions_delta
own_v1,O3,h00018,bundle_default_opt_4,/home/dungbv/clau/result/f3_o3_final_20260815/h00018/h00018_final.05-unpinned.ll,/home/dungbv/clau/reports/ir_boundary_own_20260816/artifacts/O3/h00018/bundle_default_opt_4.after.ll,True,9,9,0,63,63,0,913,869,-44,4,4,0,14,14,0,12,12,0,2,2,0,5,5,0,1,1,0,84,84,0,446,402,-44,66,66,0,30,30,0,19,19,0,1,1,0,0,0,0,597,553,-44,127,127,0,0,0,0
own_v1,O3,h00018,bundle_post_opt_4_custom_cleanup,/home/dungbv/clau/reports/ir_boundary_own_20260816/artifacts/O3/h00018/bundle_default_opt_4.after.ll,/home/dungbv/clau/result/f3_o3_final_20260815/h00018/h00018_final.ll,True,9,9,0,63,63,0,869,859,-10,4,4,0,14,14,0,12,12,0,2,2,0,5,5,0,1,1,0,84,84,0,402,392,-10,66,66,0,30,30,0,19,19,0,1,1,0,0,0,0,553,543,-10,127,127,0,0,0,0
own_v1,O3,h00019,main_default_opt_1,/home/dungbv/clau/reports/ir_boundary_own_20260816/artifacts/O3/h00019/main_opt_1.before.ll,/home/dungbv/clau/reports/ir_boundary_own_20260816/artifacts/O3/h00019/main_opt_1.after.ll,True,11,2,-9,57,41,-16,1116,980,-136,4,3,-1,28,16,-12,26,16,-10,2,0,-2,18,13,-5,7,5,-2,104,88,-16,605,544,-61,97,80,-17,26,29,3,12,12,0,1,1,0,0,0,0,813,717,-96,123,116,-7,0,0,0
own_v1,O3,h00019,main_default_opt_2,/home/dungbv/clau/reports/ir_boundary_own_20260816/artifacts/O3/h00019/main_opt_2.before.ll,/home/dungbv/clau/reports/ir_boundary_own_20260816/artifacts/O3/h00019/main_opt_2.after.ll,True,2,2,0,41,39,-2,346,282,-64,3,1,-2,11,8,-3,11,8,-3,0,0,0,8,5,-3,5,5,0,33,37,4,73,74,1,70,33,-37,4,2,-2,15,13,-2,1,1,0,0,0,0,181,149,-32,63,44,-19,0,0,0
own_v1,O3,h00019,bundle_default_opt_3,/home/dungbv/clau/result/f3_o3_final_20260815/h00019/h00019_final.02-pointer-opt.ll,/home/dungbv/clau/reports/ir_boundary_own_20260816/artifacts/O3/h00019/bundle_default_opt_3.after.ll,True,2,2,0,39,39,0,280,279,-1,1,1,0,8,8,0,8,8,0,0,0,0,5,5,0,5,5,0,37,37,0,74,74,0,35,34,-1,2,2,0,13,13,0,1,1,0,0,0,0,151,150,-1,42,42,0,0,0,0
own_v1,O3,h00019,bundle_default_opt_4,/home/dungbv/clau/result/f3_o3_final_20260815/h00019/h00019_final.05-unpinned.ll,/home/dungbv/clau/reports/ir_boundary_own_20260816/artifacts/O3/h00019/bundle_default_opt_4.after.ll,True,2,2,0,39,39,0,279,279,0,1,1,0,8,8,0,8,8,0,0,0,0,5,5,0,5,5,0,37,37,0,74,74,0,34,34,0,2,2,0,13,13,0,1,1,0,0,0,0,150,150,0,42,42,0,0,0,0
own_v1,O3,h00019,bundle_post_opt_4_custom_cleanup,/home/dungbv/clau/reports/ir_boundary_own_20260816/artifacts/O3/h00019/bundle_default_opt_4.after.ll,/home/dungbv/clau/result/f3_o3_final_20260815/h00019/h00019_final.ll,True,2,1,-1,39,38,-1,279,278,-1,1,1,0,8,8,0,8,8,0,0,0,0,5,5,0,5,5,0,37,37,0,74,74,0,34,34,0,2,2,0,13,13,0,1,1,0,0,0,0,150,150,0,42,42,0,0,0,0
own_v1,O3,h00020,main_default_opt_1,/home/dungbv/clau/reports/ir_boundary_own_20260816/artifacts/O3/h00020/main_opt_1.before.ll,/home/dungbv/clau/reports/ir_boundary_own_20260816/artifacts/O3/h00020/main_opt_1.after.ll,True,11,8,-3,52,47,-5,1294,1196,-98,8,8,0,37,26,-11,35,24,-11,2,2,0,24,16,-8,9,5,-4,140,138,-2,660,612,-48,102,68,-34,27,39,12,10,10,0,1,1,0,0,0,0,911,823,-88,158,161,3,0,0,0
own_v1,O3,h00020,main_default_opt_2,/home/dungbv/clau/reports/ir_boundary_own_20260816/artifacts/O3/h00020/main_opt_2.before.ll,/home/dungbv/clau/reports/ir_boundary_own_20260816/artifacts/O3/h00020/main_opt_2.after.ll,True,8,8,0,47,47,0,1120,1120,0,8,8,0,20,18,-2,18,16,-2,2,2,0,10,8,-2,2,2,0,138,140,2,576,577,1,40,39,-1,39,39,0,10,10,0,1,1,0,0,0,0,756,758,2,159,159,0,0,0,0
own_v1,O3,h00020,bundle_default_opt_3,/home/dungbv/clau/result/f3_o3_final_20260815/h00020/h00020_final.02-pointer-opt.ll,/home/dungbv/clau/reports/ir_boundary_own_20260816/artifacts/O3/h00020/bundle_default_opt_3.after.ll,True,8,8,0,47,47,0,1082,878,-204,8,8,0,17,17,0,15,15,0,2,2,0,7,7,0,2,2,0,140,92,-48,543,395,-148,39,39,0,37,35,-2,10,10,0,1,1,0,0,0,0,724,528,-196,156,152,-4,0,0,0
